data_number	common_formula	chemical_formula	structure_name	tc_unit	tc_recommended	journal
103693		Ag1In2	CuAl2	K	2.4	PRENUM PRESS 1973
103358	Ag1In2	Ag1In2		K	2.3	PRENUM PRESS 1973
100025	Ag1La1	Ag1La1	CsCl	K	1.2	J.PHYS.CHEM.SOLIDS,27(1966)1555
100026	Ag1La1	Ag1La1		K	0.96	J.PHYS.CHEM.SOLIDS,27(1966)1555
130029	AgMo4S5	Ag1Mo4S5	Chevrel	K	7.77	Plenum Press, 1976, p137-160
130160	AgMo4S5	Ag1Mo4S5	Chevrel	K	7.77	Plenum Press, 1976, p137-160
108016	AgMo6S8	Ag1Mo6S8	Chevrel	K	7.7	J.Low Temp.Phys., 48(1982)503
130005	AgMo6S8	Ag1Mo6S8	Chevrel	K	7.7	J.Low Temp.Phys., 48(1982)503
40076	Ag7O8F	Ag7F1O8		K	0.3	Phys.Rev.Lett., 17(1966)917
152990	Ag6O8Ag(F)	Ag7F1O8	clathrate	K	0.3	Phys.Rev.Lett., 17(1966)917
152989	Ag6O8Ag(NO3)	Ag7N1O11	clathrate	K	1.04	Phys.Rev.Lett., 17(1966)917
40075	Ag7O8(NO3)	Ag7N1O11		K	1.04	Phys.Rev.Lett., 17(1966)917
100184	Al0.152Sn0.848	Al0.152Sn0.848		K	3.69	J.APPL.PHYS.,36(1965)3895
112469	Sn1-xAlx	Al0.152Sn0.848		K	3.677	J.APPL.PHYS.,36(1965)3895
108000	Nb3Al	Al0.24Nb0.76	Cr3Si(A15)	K	18.7	J.Low Temp.Phys., 51(1983)179
108001	Nb3Al	Al0.24Nb0.76	Cr3Si(A15)	K	16.9	J.Low Temp.Phys., 51(1983)179
108002	Nb3Al	Al0.24Nb0.76	Cr3Si(A15)	K	7.1	J.Low Temp.Phys., 51(1983)179
108003	Nb3Al	Al0.24Nb0.76	Cr3Si(A15)	K	3.9	J.Low Temp.Phys., 51(1983)179
103706		Al1		K	1.3	PRENUM PRESS 1973
103705		Al1	Cu	K	1.17	PRENUM PRESS 1973
100177	Al13Os4	Al13Os4		K	5.5	HELV.PHYS.ACTA,41(1968)1052
111888	Al13Os4	Al13Os4		K	5.3	HELV.PHYS.ACTA,41(1968)1052
108026	Nb3Al	Al1Nb3	Cr3Si(A15)	K	18.7	Phys.Rev.B, 24(1981)3794
