family,importance_sum
mag_thermal,0.5630692373688876
frac/O,0.08517336865032832
mag_atomic,0.062593381206928
frac/Ba,0.05346642395364307
frac/Ca,0.03847744915147145
mag_ionization,0.02664624731337795
mag_density,0.025841687364173364
mag_electron,0.023975332193793376
mag_en,0.022525219625584562
frac/Fe,0.016098196232867786
frac/Pr,0.015005225725085057
frac/Sr,0.013122418113839796
frac/Cu,0.008757953468515255
frac/Zn,0.007991566942830843
frac/Mg,0.0056506866905639405
frac/La,0.005045925223625828
frac/Pb,0.003652584103344496
frac/H,0.0035725140274368286
frac/Y,0.002995258102773734
frac/Nb,0.0016468694357257348
frac/Co,0.0014980653647346746
frac/Hg,0.001063064647509067
frac/Nd,0.0010121844703861373
frac/Gd,0.0009280283968280004
frac/B,0.0008094270700635074
frac/Ce,0.0008048483443549218
frac/Bi,0.00072392240180702
frac/Tl,0.0006624000222009857
frac/C,0.000572097127629245
frac/Se,0.0005698978288653368
frac/Mo,0.0005011868090355361
frac/S,0.0004777627384287655
frac/V,0.00046193083559220637
frac/Cr,0.00045596015185527097
frac/Sm,0.00044833354106881793
frac/As,0.00041425379959473353
frac/Al,0.0003421595597758541
frac/Sn,0.00029874006402197113
frac/P,0.00028636741229678335
frac/Ni,0.00021462336524194449
frac/Ga,0.00018772650214298375
frac/Yb,0.0001505106228692614
frac/Eu,0.00012249245573258048
frac/Dy,0.00011991186766782356
frac/Mn,0.00009939193950576391
frac/F,0.00009309104336309472
frac/Ge,0.00007884495660938806
frac/N,0.00007247828962933269
frac/Cd,0.00006659824293607683
frac/Er,0.00006501910381011638
frac/Ti,0.0000635793168788843
frac/Lu,0.00006144285179755679
frac/In,0.000058859756330181013
frac/Tc,0.00005868423243576486
frac/Na,0.000056162419008442616
frac/Hf,0.00005536014196878423
frac/Sc,0.00004980260087554058
frac/Ru,0.00004817592013155679
frac/Ho,0.000047816705419474005
frac/Sb,0.000045656362359025447
frac/Si,0.00004532419490855885
frac/Re,0.00004331491228998788
frac/Tm,0.00004082984718102143
frac/Li,0.000040064590411981615
frac/K,0.00003758382329763976
frac/Pd,0.000034920725294766484
frac/W,0.00003450751476155765
frac/Zr,0.00003369404323900388
frac/Ag,0.00002766865995809496
frac/Rh,0.00002615233567098525
frac/Cs,0.00002492753702355485
frac/Pt,0.00002419054316446526
frac/Cl,0.00002379739993993975
frac/Rb,0.000020867075422681645
frac/I,0.00001823988932075323
frac/Te,0.000016307427856461406
frac/Tb,0.000014278254128226005
frac/Ta,0.000013169352428279065
frac/Ir,0.00001011090925602907
frac/Br,5.648991235394115e-6
frac/Be,3.906731648963443e-6
frac/Os,3.7932515602037066e-6
frac/Au,2.2978124420129785e-6
frac/Po,0.0
frac/Pm,0.0
frac/At,0.0
frac/Rn,0.0
frac/Ar,0.0
frac/He,0.0
frac/Ne,0.0
frac/Xe,0.0
mag_fusion,0.0
frac/Kr,0.0
