family,importance_sum
mag_thermal,0.5632739401064466
frac/O,0.08785724527822521
mag_atomic,0.06122963809944058
frac/Ba,0.05497902042541695
frac/Ca,0.0382221584291215
mag_density,0.02612858391874305
mag_ionization,0.025402471012888492
mag_electron,0.023427007997977357
mag_en,0.02207992947817991
frac/Fe,0.01592757478782581
frac/Pr,0.015026148099807924
frac/Sr,0.013086322029741283
frac/Cu,0.009281390152873395
frac/Zn,0.007885753025357168
frac/Mg,0.0056284434373180675
frac/La,0.004948107865352955
frac/H,0.0033567483594821963
frac/Pb,0.0032168692311088346
frac/Y,0.0031465110474817397
frac/Nb,0.0016437608588923988
frac/Co,0.00152371666994223
frac/Hg,0.0010384999821342685
frac/Nd,0.0009081129457548441
frac/Gd,0.0008866698562887675
frac/B,0.0008220244512726521
frac/Ce,0.0008032277991464015
frac/Tl,0.0006805964089743867
frac/Bi,0.0006226055432489204
frac/Se,0.0005632074977016079
frac/C,0.0005468308857821086
frac/Mo,0.0004978483355328705
frac/V,0.0004877707325001101
frac/S,0.00043178970798429876
frac/As,0.0004261624857770109
frac/Sm,0.0003976745729702007
frac/Cr,0.00039472303625670725
frac/Al,0.00031801772721367445
frac/Sn,0.0003010047536929007
frac/P,0.0002664381051079349
frac/Ni,0.00021921164940181856
frac/Ga,0.00018374273744992708
frac/Eu,0.0001623296010476757
frac/Yb,0.00013584874279804407
frac/Dy,0.00009919714495751944
frac/Mn,0.00009798909619161449
frac/F,0.00009170003113183549
frac/Cd,0.00007210293952685132
frac/Er,0.00006764938631738176
frac/Ti,0.00006685341180262507
frac/Lu,0.00006646930368337619
frac/Ge,0.00006561673306944539
frac/N,0.0000634933515531032
frac/In,0.00006066769384314175
frac/Sc,0.000058033397180065555
frac/Tc,0.000056818387059153185
frac/Ru,0.0000508625775231161
frac/Hf,0.000050280291651221436
frac/Na,0.000050166500937054296
frac/Ho,0.00004941423969110977
frac/Sb,0.00004631776480912484
frac/W,0.000042307520158620454
frac/Si,0.00004163332879563464
frac/Li,0.00003883256609056843
frac/Re,0.00003854761862524547
frac/K,0.0000378671818135366
frac/Tm,0.00003694655534474028
frac/Pd,0.000036605256632482185
frac/Zr,0.000028484950107818294
frac/Rh,0.000026514528618678914
frac/Cl,0.000025235046842359088
frac/Pt,0.000023001403480227425
frac/Cs,0.000022110260014078228
frac/Rb,0.000020132628541530238
frac/I,0.00001617940750392684
frac/Tb,0.000016057730481752495
frac/Te,0.000015242939717970028
frac/Ag,0.000014016416533628448
frac/Ir,0.000012494697165936474
frac/Ta,0.000011491941583741114
frac/Br,7.673570757524934e-6
frac/Os,4.0888059050423545e-6
frac/Be,3.690317605864351e-6
frac/Au,1.5352070905455352e-6
frac/Ar,0.0
frac/Ne,0.0
mag_fusion,0.0
frac/Pm,0.0
frac/Po,0.0
frac/Kr,0.0
frac/He,0.0
frac/At,0.0
frac/Rn,0.0
frac/Xe,0.0
