feature,importance,family
mag_thermal_conductivity_range,0.5383842226635417,mag_thermal
frac_O,0.08785724527822521,frac/O
frac_Ba,0.05497902042541695,frac/Ba
frac_Ca,0.0382221584291215,frac/Ca
frac_Fe,0.01592757478782581,frac/Fe
frac_Pr,0.015026148099807924,frac/Pr
frac_Sr,0.013086322029741283,frac/Sr
mag_atomic_mass_wmean,0.011065226544247495,mag_atomic
mag_thermal_conductivity_wentropy,0.010684282763523973,mag_thermal
frac_Cu,0.009281390152873395,frac/Cu
mag_electron_affinity_wstd,0.009196875300919196,mag_electron
mag_ionization_energy_wentropy,0.008188975433908893,mag_ionization
frac_Zn,0.007885753025357168,frac/Zn
mag_en_pauling_wstd,0.00781123446118646,mag_en
mag_ionization_energy_wmean,0.007326748088556854,mag_ionization
mag_thermal_conductivity_wstd,0.0070088169932217325,mag_thermal
mag_atomic_mass_mean,0.006920396295641682,mag_atomic
mag_atomic_mass_wstd,0.006860965673608262,mag_atomic
mag_density_wstd,0.0066904244304924945,mag_density
mag_en_pauling_wentropy,0.006508937686851858,mag_en
mag_atomic_radius_range,0.0064919085444888405,mag_atomic
mag_density_wentropy,0.006135799934265186,mag_density
mag_atomic_radius_wentropy,0.006118015877782874,mag_atomic
mag_density_mean,0.006056151989301422,mag_density
mag_atomic_radius_wstd,0.005947329899848946,mag_atomic
mag_ionization_energy_wstd,0.0057640029800632275,mag_ionization
mag_electron_affinity_wmean,0.0057197353470825945,mag_electron
frac_Mg,0.0056284434373180675,frac/Mg
mag_density_wmean,0.005572334139009551,mag_density
mag_atomic_mass_wentropy,0.005536086409523007,mag_atomic
mag_electron_affinity_wentropy,0.0050518134441347355,mag_electron
mag_thermal_conductivity_wmean,0.004976688068704649,mag_thermal
frac_La,0.004948107865352955,frac/La
mag_en_pauling_wmean,0.004634799147000512,mag_en
mag_atomic_mass_range,0.0043496973553636496,mag_atomic
mag_atomic_radius_wmean,0.004208802338692069,mag_atomic
mag_atomic_radius_mean,0.00373120916024375,mag_atomic
frac_H,0.0033567483594821963,frac/H
frac_Pb,0.0032168692311088346,frac/Pb
frac_Y,0.0031465110474817397,frac/Y
mag_ionization_energy_mean,0.002578830214497054,mag_ionization
mag_electron_affinity_mean,0.0024954763147888603,mag_electron
mag_en_pauling_mean,0.00230526737999857,mag_en
mag_thermal_conductivity_mean,0.00221992961745458,mag_thermal
mag_density_range,0.0016738734256743994,mag_density
frac_Nb,0.0016437608588923988,frac/Nb
mag_ionization_energy_range,0.0015439142958624636,mag_ionization
frac_Co,0.00152371666994223,frac/Co
frac_Hg,0.0010384999821342685,frac/Hg
mag_electron_affinity_range,0.0009631075910519689,mag_electron
frac_Nd,0.0009081129457548441,frac/Nd
frac_Gd,0.0008866698562887675,frac/Gd
frac_B,0.0008220244512726521,frac/B
mag_en_pauling_range,0.0008196908031425119,mag_en
frac_Ce,0.0008032277991464015,frac/Ce
frac_Tl,0.0006805964089743867,frac/Tl
frac_Bi,0.0006226055432489204,frac/Bi
frac_Se,0.0005632074977016079,frac/Se
frac_C,0.0005468308857821086,frac/C
frac_Mo,0.0004978483355328705,frac/Mo
frac_V,0.0004877707325001101,frac/V
frac_S,0.00043178970798429876,frac/S
frac_As,0.0004261624857770109,frac/As
frac_Sm,0.0003976745729702007,frac/Sm
frac_Cr,0.00039472303625670725,frac/Cr
frac_Al,0.00031801772721367445,frac/Al
frac_Sn,0.0003010047536929007,frac/Sn
frac_P,0.0002664381051079349,frac/P
frac_Ni,0.00021921164940181856,frac/Ni
frac_Ga,0.00018374273744992708,frac/Ga
frac_Eu,0.0001623296010476757,frac/Eu
frac_Yb,0.00013584874279804407,frac/Yb
frac_Dy,0.00009919714495751944,frac/Dy
frac_Mn,0.00009798909619161449,frac/Mn
frac_F,0.00009170003113183549,frac/F
frac_Cd,0.00007210293952685132,frac/Cd
frac_Er,0.00006764938631738176,frac/Er
frac_Ti,0.00006685341180262507,frac/Ti
frac_Lu,0.00006646930368337619,frac/Lu
frac_Ge,0.00006561673306944539,frac/Ge
frac_N,0.0000634933515531032,frac/N
frac_In,0.00006066769384314175,frac/In
frac_Sc,0.000058033397180065555,frac/Sc
frac_Tc,0.000056818387059153185,frac/Tc
frac_Ru,0.0000508625775231161,frac/Ru
frac_Hf,0.000050280291651221436,frac/Hf
frac_Na,0.000050166500937054296,frac/Na
frac_Ho,0.00004941423969110977,frac/Ho
frac_Sb,0.00004631776480912484,frac/Sb
frac_W,0.000042307520158620454,frac/W
frac_Si,0.00004163332879563464,frac/Si
frac_Li,0.00003883256609056843,frac/Li
frac_Re,0.00003854761862524547,frac/Re
frac_K,0.0000378671818135366,frac/K
frac_Tm,0.00003694655534474028,frac/Tm
frac_Pd,0.000036605256632482185,frac/Pd
frac_Zr,0.000028484950107818294,frac/Zr
