feature,importance,family
mag_thermal_conductivity_range,0.80782175,mag_thermal
mag_atomic_radius_range,0.021012548,mag_atomic
frac_Cu,0.017473564,frac/Cu
frac_Ba,0.009787046,frac/Ba
frac_Pr,0.00632396,frac/Pr
mag_density_range,0.006061391,mag_density
mag_atomic_mass_range,0.005875749,mag_atomic
frac_Ca,0.0053315707,frac/Ca
mag_ionization_energy_wentropy,0.005281082,mag_ionization
frac_Zn,0.0043198625,frac/Zn
mag_ionization_energy_range,0.004220128,mag_ionization
frac_O,0.004201078,frac/O
frac_Mg,0.004059406,frac/Mg
frac_Fe,0.003973209,frac/Fe
mag_en_pauling_range,0.003961074,mag_en
mag_atomic_mass_wentropy,0.0034010299,mag_atomic
mag_electron_affinity_range,0.0033581958,mag_electron
mag_electron_affinity_wstd,0.00304068,mag_electron
mag_density_mean,0.0028995448,mag_density
mag_thermal_conductivity_wentropy,0.0028713914,mag_thermal
frac_Pb,0.0027329207,frac/Pb
mag_atomic_mass_mean,0.002381363,mag_atomic
frac_Sr,0.002371801,frac/Sr
mag_thermal_conductivity_mean,0.002279771,mag_thermal
frac_Nb,0.0022038934,frac/Nb
frac_H,0.002144766,frac/H
mag_thermal_conductivity_wstd,0.002061241,mag_thermal
mag_thermal_conductivity_wmean,0.001827008,mag_thermal
frac_C,0.0017166992,frac/C
frac_B,0.0017126203,frac/B
mag_atomic_radius_mean,0.0016633774,mag_atomic
frac_La,0.0016089587,frac/La
mag_atomic_radius_wstd,0.0015503499,mag_atomic
mag_en_pauling_wstd,0.0014118298,mag_en
mag_density_wmean,0.0014105593,mag_density
mag_ionization_energy_mean,0.0014042463,mag_ionization
mag_atomic_radius_wentropy,0.0013389072,mag_atomic
mag_density_wentropy,0.0013327504,mag_density
frac_Nd,0.0013327242,frac/Nd
mag_atomic_mass_wstd,0.0013303473,mag_atomic
mag_atomic_mass_wmean,0.0013300963,mag_atomic
frac_Ag,0.0012268805,frac/Ag
mag_electron_affinity_mean,0.0012081488,mag_electron
mag_ionization_energy_wmean,0.0012044766,mag_ionization
mag_electron_affinity_wmean,0.0011860393,mag_electron
frac_Bi,0.0011547353,frac/Bi
frac_Y,0.0011523187,frac/Y
frac_As,0.0011346582,frac/As
frac_Co,0.001132606,frac/Co
mag_en_pauling_wentropy,0.0011292693,mag_en
mag_density_wstd,0.0010872207,mag_density
mag_ionization_energy_wstd,0.0010729723,mag_ionization
frac_Tm,0.0009416235,frac/Tm
frac_Se,0.0008943249,frac/Se
frac_Hg,0.0008450678,frac/Hg
mag_electron_affinity_wentropy,0.00083090144,mag_electron
mag_en_pauling_mean,0.00082009105,mag_en
frac_Cr,0.0007855065,frac/Cr
frac_Tl,0.00077041984,frac/Tl
frac_Gd,0.0007524873,frac/Gd
mag_atomic_radius_wmean,0.00074634847,mag_atomic
frac_Sm,0.0007450118,frac/Sm
frac_Cs,0.00072140334,frac/Cs
frac_Yb,0.000712572,frac/Yb
frac_P,0.000703472,frac/P
frac_Dy,0.0006946268,frac/Dy
frac_Mo,0.0006711062,frac/Mo
frac_V,0.0006675229,frac/V
mag_en_pauling_wmean,0.0006668737,mag_en
frac_Ce,0.00063851534,frac/Ce
frac_Cd,0.0006228221,frac/Cd
frac_Sn,0.0005903204,frac/Sn
frac_Cl,0.0005140244,frac/Cl
frac_Eu,0.0005115299,frac/Eu
frac_Al,0.0004883143,frac/Al
frac_S,0.00045599297,frac/S
frac_Er,0.0004225277,frac/Er
frac_Ga,0.00040585524,frac/Ga
frac_Na,0.00040573176,frac/Na
frac_Sc,0.00036125042,frac/Sc
frac_Hf,0.00035419705,frac/Hf
frac_Ni,0.00035246488,frac/Ni
frac_In,0.0003469857,frac/In
frac_Lu,0.0003410971,frac/Lu
frac_Sb,0.00033732812,frac/Sb
frac_W,0.0003249159,frac/W
frac_Ge,0.0002832428,frac/Ge
frac_Te,0.00027883195,frac/Te
frac_Mn,0.00027621133,frac/Mn
frac_Tc,0.0002701495,frac/Tc
frac_Be,0.00026870513,frac/Be
frac_F,0.00026215558,frac/F
frac_Ho,0.000245347,frac/Ho
frac_Pt,0.0002402419,frac/Pt
frac_N,0.00023336818,frac/N
frac_I,0.0002314876,frac/I
frac_Re,0.00022232479,frac/Re
frac_Ti,0.00021611506,frac/Ti
frac_Li,0.0002076734,frac/Li
frac_Ru,0.00018873041,frac/Ru
frac_Pd,0.0001589462,frac/Pd
frac_Tb,0.00015563345,frac/Tb
frac_Ir,0.00015301499,frac/Ir
frac_Si,0.0001298665,frac/Si
frac_K,0.00009885302,frac/K
frac_Au,0.00007350475,frac/Au
frac_Zr,0.0000670315,frac/Zr
frac_Rb,0.000064905835,frac/Rb
frac_Rh,0.00006142677,frac/Rh
frac_Ta,0.00002395776,frac/Ta
frac_Os,0.000021008385,frac/Os
frac_Br,0.000014261182,frac/Br
frac_He,0.0,frac/He
frac_Ne,0.0,frac/Ne
frac_Ar,0.0,frac/Ar
frac_Kr,0.0,frac/Kr
frac_Xe,0.0,frac/Xe
frac_Pm,0.0,frac/Pm
frac_Po,0.0,frac/Po
frac_At,0.0,frac/At
frac_Rn,0.0,frac/Rn
mag_fusion_heat_wmean,0.0,mag_fusion
mag_fusion_heat_mean,0.0,mag_fusion
mag_fusion_heat_wstd,0.0,mag_fusion
mag_fusion_heat_range,0.0,mag_fusion
mag_fusion_heat_wentropy,0.0,mag_fusion
