feature,importance,family
mag_thermal_conductivity_range,0.538099821362119,mag_thermal
frac_O,0.08517336865032832,frac/O
frac_Ba,0.05346642395364307,frac/Ba
frac_Ca,0.03847744915147145,frac/Ca
frac_Fe,0.016098196232867786,frac/Fe
frac_Pr,0.015005225725085057,frac/Pr
frac_Sr,0.013122418113839796,frac/Sr
mag_thermal_conductivity_wentropy,0.010688252811462209,mag_thermal
mag_atomic_mass_wmean,0.010425382707746898,mag_atomic
mag_electron_affinity_wstd,0.009803508388600517,mag_electron
mag_ionization_energy_wentropy,0.009590044022933748,mag_ionization
frac_Cu,0.008757953468515255,frac/Cu
frac_Zn,0.007991566942830843,frac/Zn
mag_en_pauling_wstd,0.00797855389211987,mag_en
mag_atomic_radius_range,0.007177469242421534,mag_atomic
mag_atomic_mass_wstd,0.007071378194195508,mag_atomic
mag_ionization_energy_wmean,0.00704126919629896,mag_ionization
mag_atomic_mass_wentropy,0.00685098925558908,mag_atomic
mag_thermal_conductivity_wstd,0.0068388661344545056,mag_thermal
mag_atomic_mass_mean,0.006835281033085256,mag_atomic
mag_en_pauling_wentropy,0.006509770470126812,mag_en
mag_density_wstd,0.006429421950961256,mag_density
mag_density_wentropy,0.006252537621355156,mag_density
mag_atomic_radius_wentropy,0.006068196463592822,mag_atomic
mag_atomic_radius_wstd,0.006001134836304448,mag_atomic
mag_density_mean,0.005980790070989996,mag_density
mag_ionization_energy_wstd,0.005929013979591283,mag_ionization
frac_Mg,0.0056506866905639405,frac/Mg
mag_electron_affinity_wmean,0.00560118145369161,mag_electron
mag_density_wmean,0.00518069890081577,mag_density
mag_thermal_conductivity_wmean,0.005154864202084752,mag_thermal
frac_La,0.005045925223625828,frac/La
mag_electron_affinity_wentropy,0.004949823811627219,mag_electron
mag_en_pauling_wmean,0.004714255280766809,mag_en
mag_atomic_mass_range,0.004209481853425182,mag_atomic
mag_atomic_radius_wmean,0.004129995921011682,mag_atomic
mag_atomic_radius_mean,0.003824071699555596,mag_atomic
frac_Pb,0.003652584103344496,frac/Pb
frac_H,0.0035725140274368286,frac/H
frac_Y,0.002995258102773734,frac/Y
mag_electron_affinity_mean,0.0025844618434643194,mag_electron
mag_ionization_energy_mean,0.002552711667654548,mag_ionization
mag_en_pauling_mean,0.0023676951051150312,mag_en
mag_thermal_conductivity_mean,0.0022874328587670426,mag_thermal
mag_density_range,0.001998238820051185,mag_density
frac_Nb,0.0016468694357257348,frac/Nb
mag_ionization_energy_range,0.0015332084468994104,mag_ionization
frac_Co,0.0014980653647346746,frac/Co
frac_Hg,0.001063064647509067,frac/Hg
mag_electron_affinity_range,0.0010363566964097107,mag_electron
frac_Nd,0.0010121844703861373,frac/Nd
mag_en_pauling_range,0.0009549448774560412,mag_en
frac_Gd,0.0009280283968280004,frac/Gd
frac_B,0.0008094270700635074,frac/B
frac_Ce,0.0008048483443549218,frac/Ce
frac_Bi,0.00072392240180702,frac/Bi
frac_Tl,0.0006624000222009857,frac/Tl
frac_C,0.000572097127629245,frac/C
frac_Se,0.0005698978288653368,frac/Se
frac_Mo,0.0005011868090355361,frac/Mo
frac_S,0.0004777627384287655,frac/S
frac_V,0.00046193083559220637,frac/V
frac_Cr,0.00045596015185527097,frac/Cr
frac_Sm,0.00044833354106881793,frac/Sm
frac_As,0.00041425379959473353,frac/As
frac_Al,0.0003421595597758541,frac/Al
frac_Sn,0.00029874006402197113,frac/Sn
frac_P,0.00028636741229678335,frac/P
frac_Ni,0.00021462336524194449,frac/Ni
frac_Ga,0.00018772650214298375,frac/Ga
frac_Yb,0.0001505106228692614,frac/Yb
frac_Eu,0.00012249245573258048,frac/Eu
frac_Dy,0.00011991186766782356,frac/Dy
frac_Mn,0.00009939193950576391,frac/Mn
frac_F,0.00009309104336309472,frac/F
frac_Ge,0.00007884495660938806,frac/Ge
frac_N,0.00007247828962933269,frac/N
frac_Cd,0.00006659824293607683,frac/Cd
frac_Er,0.00006501910381011638,frac/Er
frac_Ti,0.0000635793168788843,frac/Ti
frac_Lu,0.00006144285179755679,frac/Lu
frac_In,0.000058859756330181013,frac/In
frac_Tc,0.00005868423243576486,frac/Tc
frac_Na,0.000056162419008442616,frac/Na
frac_Hf,0.00005536014196878423,frac/Hf
frac_Sc,0.00004980260087554058,frac/Sc
