feature,importance,family
mag_thermal_conductivity_range,0.76611733,mag_thermal
mag_atomic_radius_range,0.03253282,mag_atomic
frac_Cu,0.020321986,frac/Cu
frac_Ba,0.0114348605,frac/Ba
mag_atomic_mass_range,0.0074829543,mag_atomic
frac_Pr,0.007398189,frac/Pr
frac_Ca,0.0066654943,frac/Ca
mag_density_range,0.0058367746,mag_density
mag_ionization_energy_wentropy,0.00508244,mag_ionization
frac_Zn,0.0049831346,frac/Zn
frac_O,0.0049114767,frac/O
mag_atomic_mass_wentropy,0.004895793,mag_atomic
mag_en_pauling_range,0.0048580267,mag_en
frac_Ag,0.004675267,frac/Ag
frac_Fe,0.004556367,frac/Fe
frac_Mg,0.0045260824,frac/Mg
mag_ionization_energy_range,0.0043177553,mag_ionization
mag_electron_affinity_wstd,0.0039769923,mag_electron
mag_thermal_conductivity_wentropy,0.0033582062,mag_thermal
frac_Pb,0.0033170579,frac/Pb
mag_density_mean,0.003241803,mag_density
mag_thermal_conductivity_mean,0.0029590116,mag_thermal
frac_Sr,0.0025829857,frac/Sr
frac_H,0.0025475665,frac/H
frac_Nb,0.0025265669,frac/Nb
mag_thermal_conductivity_wstd,0.0025174953,mag_thermal
mag_atomic_mass_mean,0.002502829,mag_atomic
mag_thermal_conductivity_wmean,0.0022796136,mag_thermal
frac_La,0.002265546,frac/La
frac_B,0.0021933252,frac/B
mag_atomic_radius_mean,0.0021898795,mag_atomic
frac_C,0.0018927736,frac/C
mag_atomic_radius_wentropy,0.0018065973,mag_atomic
mag_electron_affinity_mean,0.0018001298,mag_electron
mag_density_wentropy,0.0017227053,mag_density
mag_en_pauling_wstd,0.0016448878,mag_en
mag_ionization_energy_wmean,0.0016401375,mag_ionization
mag_density_wmean,0.0015881753,mag_density
mag_atomic_mass_wmean,0.0015858742,mag_atomic
mag_atomic_mass_wstd,0.0015361408,mag_atomic
mag_density_wstd,0.0015307628,mag_density
mag_atomic_radius_wstd,0.0015189925,mag_atomic
mag_electron_affinity_range,0.0015168888,mag_electron
frac_Nd,0.0013615009,frac/Nd
frac_Co,0.0013507396,frac/Co
frac_Y,0.0013338305,frac/Y
mag_en_pauling_wentropy,0.0013105583,mag_en
frac_Bi,0.0012883554,frac/Bi
mag_ionization_energy_wstd,0.0012873342,mag_ionization
mag_ionization_energy_mean,0.0012718554,mag_ionization
frac_As,0.0011795454,frac/As
mag_electron_affinity_wmean,0.001136132,mag_electron
frac_Hg,0.001117728,frac/Hg
mag_atomic_radius_wmean,0.0010869224,mag_atomic
frac_Tl,0.0010704513,frac/Tl
frac_Gd,0.0010644152,frac/Gd
mag_electron_affinity_wentropy,0.0010360185,mag_electron
frac_Se,0.0010273899,frac/Se
frac_Ce,0.0010220073,frac/Ce
frac_Cr,0.0009677447,frac/Cr
frac_Mo,0.000852898,frac/Mo
mag_en_pauling_mean,0.00085237494,mag_en
frac_Sm,0.0007896184,frac/Sm
frac_Cd,0.0007742629,frac/Cd
frac_Dy,0.000766358,frac/Dy
mag_en_pauling_wmean,0.00076066883,mag_en
frac_Cl,0.0007435954,frac/Cl
frac_Eu,0.00073425774,frac/Eu
frac_Br,0.00068521,frac/Br
frac_P,0.00068292266,frac/P
frac_Yb,0.0006704889,frac/Yb
frac_Sn,0.0006413604,frac/Sn
frac_Tm,0.0006362078,frac/Tm
frac_V,0.00058791094,frac/V
frac_Sc,0.00058498484,frac/Sc
frac_Al,0.0005657469,frac/Al
frac_Sb,0.0005504711,frac/Sb
frac_Cs,0.0005216224,frac/Cs
frac_Na,0.0005004577,frac/Na
frac_I,0.00047680916,frac/I
frac_N,0.00046991446,frac/N
frac_Ga,0.0004510281,frac/Ga
frac_Hf,0.00039540662,frac/Hf
frac_Ni,0.00039250328,frac/Ni
frac_In,0.00036275835,frac/In
frac_S,0.00036112338,frac/S
frac_Tc,0.0003581408,frac/Tc
frac_Ge,0.00034602758,frac/Ge
frac_Er,0.00033693959,frac/Er
frac_F,0.00033097208,frac/F
frac_Te,0.0003097955,frac/Te
frac_Mn,0.00030587555,frac/Mn
frac_Ti,0.0003011403,frac/Ti
frac_Tb,0.00029299015,frac/Tb
frac_Lu,0.00027327033,frac/Lu
frac_W,0.00025916204,frac/W
frac_Re,0.00024255367,frac/Re
frac_Ho,0.00023528574,frac/Ho
frac_Be,0.0002284406,frac/Be
frac_Ru,0.00021042037,frac/Ru
frac_Rb,0.00018813314,frac/Rb
frac_Pt,0.00017367765,frac/Pt
frac_Li,0.00016292068,frac/Li
frac_Pd,0.00016095459,frac/Pd
frac_Ir,0.00015820828,frac/Ir
frac_Ta,0.000121590754,frac/Ta
frac_Si,0.00009378926,frac/Si
frac_K,0.0000890483,frac/K
frac_Rh,0.00007756661,frac/Rh
frac_Zr,0.000074448544,frac/Zr
frac_Au,0.00006856461,frac/Au
frac_Os,0.000036932117,frac/Os
frac_He,0.0,frac/He
frac_Ne,0.0,frac/Ne
frac_Ar,0.0,frac/Ar
frac_Kr,0.0,frac/Kr
frac_Xe,0.0,frac/Xe
frac_Pm,0.0,frac/Pm
frac_Po,0.0,frac/Po
frac_At,0.0,frac/At
frac_Rn,0.0,frac/Rn
mag_fusion_heat_wmean,0.0,mag_fusion
mag_fusion_heat_mean,0.0,mag_fusion
mag_fusion_heat_wstd,0.0,mag_fusion
mag_fusion_heat_range,0.0,mag_fusion
mag_fusion_heat_wentropy,0.0,mag_fusion
