dataset,seed,group,y,pred,nn_dist,violated
B,0,1,40.1,75.654396,0.20740240812301636,1
B,0,4,4.85,4.2968664,2.322256565093994,0
B,0,9,18.2,17.778536,1.2488410472869873,0
B,0,10,28.1,35.62079,0.5032908320426941,0
B,0,14,40.0,19.381605,1.5371612310409546,1
B,0,15,83.0,12.153381,7.552977085113525,1
B,0,17,5.28,3.8123398,1.54373300075531,0
B,0,22,50.7,67.3728,1.0650385618209839,1
B,0,23,14.2,13.284715,1.1714177131652832,0
B,0,27,2.78,2.9856162,1.0054068565368652,0
B,0,30,24.8,75.712654,0.9570855498313904,1
B,0,33,17.5,13.472357,1.210894227027893,0
B,0,37,12.0,10.425224,2.114758253097534,0
B,0,40,1.17,2.5427613,3.513570785522461,0
B,0,41,3.45,4.4851956,5.372994899749756,0
B,0,44,34.2,26.226633,0.824492871761322,0
B,0,49,26.2,21.493006,0.18746094405651093,0
B,0,53,3.5,1.8093004,3.2486891746520996,0
B,0,1,76.0,66.39443,0.21893499791622162,0
B,0,57,82.5,67.15045,1.0969929695129395,1
B,0,49,13.7,19.446402,0.2883322536945343,0
B,0,64,42.5,62.59638,0.19977614283561707,1
B,0,69,0.61,1.4496716,96.48926544189453,0
B,0,70,12.7,9.109414,1.8522086143493652,0
B,0,76,6.86,8.334283,2.38494610786438,0
B,0,49,45.0,72.34151,0.3650793135166168,1
B,0,92,8.0,16.784184,0.5088066458702087,0
B,0,98,11.2,11.958202,3.267881155014038,0
B,0,104,38.4,24.379637,2.1701135635375977,1
B,0,107,1.57,4.784615,6.414279937744141,0
B,0,109,46.0,59.276543,0.932301938533783,1
B,0,113,25.0,23.727852,0.41977086663246155,0
B,0,117,4.45,2.4593086,3.7683041095733643,0
B,0,118,5.325,2.7303708,3.712508201599121,0
B,0,119,14.3,30.61401,1.4874614477157593,1
B,0,121,6.966666667,10.408447,4.533253192901611,0
B,0,124,6.44,6.1127787,0.4409361779689789,0
B,0,64,73.3,73.26353,0.14218711853027344,0
B,0,132,7.6,6.5939856,1.8494033813476562,0
B,0,134,27.0,23.585121,0.09549552947282791,0
B,0,135,0.714,1.1661472,4.124996662139893,0
B,0,137,29.0,20.722368,0.7319067120552063,0
B,0,138,0.11,0.91347355,4.820379734039307,0
B,0,141,1.97,1.9719192,4.341145038604736,0
B,0,1,64.0,68.90673,0.20120194554328918,0
B,0,144,5.905,3.5486603,0.42122697830200195,0
B,0,118,0.25,3.0471268,2.1355154514312744,0
B,0,148,7.2,7.2907987,0.846739649772644,0
