dataset,regime,method,seed,coverage,cov_lo,cov_hi,coverage_hiTc,cov_hiTc_lo,cov_hiTc_hi,width_mean,width_hiTc,n_test,n_hiTc,n_families,mae
B,iid,split,0,0.9086,0.8939,0.9225,0.75,0.6932,0.7972,24.11,24.11,3732,376,1706,4.267
B,iid,oracle_global,0,0.9003,0.8848,0.9153,0.734,0.6789,0.7854,22.598,22.598,3732,376,1706,4.267
B,iid,oracle_cond,0,0.9006,0.8856,0.9146,0.9043,0.8728,0.9372,22.58,46.842,3732,376,1706,4.267
B,iid,norm_insample,0,0.9033,0.8911,0.9139,0.7633,0.7026,0.8155,21.556,27.091,3732,376,1706,4.267
B,iid,norm_cv,0,0.9003,0.889,0.9111,0.8803,0.8437,0.9171,19.993,44.173,3732,376,1706,4.267
B,iid,norm_cal,0,0.9094,0.8988,0.9192,0.9016,0.8647,0.9362,23.498,47.922,3732,376,1706,4.267
B,iid,mondrian_fixed,0,0.9078,0.8948,0.9205,0.766,0.712,0.813,23.811,26.308,3732,376,1706,4.267
B,iid,cqr,0,0.9094,0.8972,0.9198,0.6809,0.613,0.7387,30.124,72.457,3732,376,1706,4.267
B,iid,split,1,0.8928,0.8761,0.9075,0.6862,0.6163,0.7466,22.854,22.854,3732,376,1672,4.439
B,iid,oracle_global,1,0.9003,0.8852,0.9138,0.6968,0.6264,0.7578,24.092,24.092,3732,376,1672,4.439
B,iid,oracle_cond,1,0.9009,0.8864,0.9141,0.9043,0.8686,0.9301,24.147,61.306,3732,376,1672,4.439
B,iid,norm_insample,1,0.8942,0.881,0.9081,0.7021,0.6351,0.7626,20.295,25.644,3732,376,1672,4.439
B,iid,norm_cv,1,0.9017,0.891,0.9129,0.8644,0.8302,0.8955,19.721,41.787,3732,376,1672,4.439
B,iid,norm_cal,1,0.8987,0.886,0.9096,0.8697,0.8207,0.9115,22.649,46.84,3732,376,1672,4.439
B,iid,mondrian_fixed,1,0.8976,0.8829,0.9115,0.6968,0.626,0.7576,23.195,25.16,3732,376,1672,4.439
B,iid,cqr,1,0.9022,0.8903,0.9155,0.6915,0.6334,0.7427,30.747,73.481,3732,376,1672,4.439
B,iid,split,2,0.8976,0.8821,0.9109,0.75,0.686,0.8062,23.351,23.352,3732,392,1697,4.39
B,iid,oracle_global,2,0.9003,0.886,0.9133,0.7602,0.6971,0.8163,23.953,23.953,3732,392,1697,4.39
B,iid,oracle_cond,2,0.9006,0.887,0.9128,0.9031,0.8624,0.9352,23.645,44.907,3732,392,1697,4.39
B,iid,norm_insample,2,0.8966,0.884,0.9087,0.7628,0.7076,0.8125,21.833,29.248,3732,392,1697,4.39
B,iid,norm_cv,2,0.8939,0.8807,0.9038,0.9413,0.919,0.9625,20.725,44.551,3732,392,1697,4.39
B,iid,norm_cal,2,0.9035,0.8931,0.9135,0.9286,0.898,0.9546,23.479,47.891,3732,392,1697,4.39
B,iid,mondrian_fixed,2,0.8971,0.8819,0.9095,0.7653,0.697,0.8251,23.028,26.459,3732,392,1697,4.39
B,iid,cqr,2,0.8971,0.8854,0.91,0.699,0.6452,0.7575,30.808,73.082,3732,392,1697,4.39
B,iid,split,3,0.9022,0.8883,0.9171,0.7363,0.6769,0.7783,23.706,23.706,3732,402,1706,4.306
B,iid,oracle_global,3,0.9003,0.8868,0.9146,0.7363,0.6769,0.7783,23.476,23.476,3732,402,1706,4.306
B,iid,oracle_cond,3,0.9006,0.8871,0.9153,0.903,0.8729,0.9305,22.351,40.086,3732,402,1706,4.306
B,iid,norm_insample,3,0.9022,0.8896,0.9153,0.7338,0.6727,0.7839,21.389,28.291,3732,402,1706,4.306
B,iid,norm_cv,3,0.9027,0.8911,0.915,0.8756,0.8345,0.9066,19.768,39.715,3732,402,1706,4.306
B,iid,norm_cal,3,0.8974,0.8856,0.909,0.9254,0.8981,0.9534,22.491,49.273,3732,402,1706,4.306
B,iid,mondrian_fixed,3,0.9038,0.8921,0.916,0.7687,0.7079,0.814,23.732,27.176,3732,402,1706,4.306
B,iid,cqr,3,0.9043,0.8936,0.9153,0.709,0.6452,0.7759,30.812,74.131,3732,402,1706,4.306
B,iid,split,4,0.8968,0.8797,0.9129,0.6935,0.622,0.7519,23.869,23.869,3732,385,1661,4.453
B,iid,oracle_global,4,0.9006,0.8853,0.9168,0.6961,0.6267,0.7555,24.463,24.463,3732,385,1661,4.453
B,iid,oracle_cond,4,0.9009,0.8871,0.9139,0.9039,0.8681,0.9352,23.936,51.652,3732,385,1661,4.453
B,iid,norm_insample,4,0.8952,0.8813,0.9107,0.6987,0.6278,0.7563,21.895,27.738,3732,385,1661,4.453
B,iid,norm_cv,4,0.8859,0.8736,0.8974,0.8597,0.8184,0.8988,19.176,43.699,3732,385,1661,4.453
B,iid,norm_cal,4,0.8859,0.8726,0.8971,0.8857,0.8526,0.9171,22.483,49.761,3732,385,1661,4.453
B,iid,mondrian_fixed,4,0.8968,0.8808,0.9111,0.7169,0.6486,0.7746,23.689,26.264,3732,385,1661,4.453
B,iid,cqr,4,0.8877,0.8754,0.9002,0.6286,0.5629,0.6837,29.975,74.431,3732,385,1661,4.453
B,shift,split,0,0.8819,0.8404,0.9153,0.6279,0.5231,0.7204,36.082,36.082,3939,387,919,7.222
B,shift,oracle_global,0,0.9002,0.8574,0.9311,0.6796,0.5719,0.7678,40.628,40.628,3939,387,919,7.222
B,shift,oracle_cond,0,0.9007,0.8562,0.9319,0.9044,0.8323,0.9533,36.949,74.304,3939,387,919,7.222
B,shift,norm_insample,0,0.8896,0.8547,0.9185,0.646,0.5377,0.744,33.52,40.986,3939,387,919,7.222
B,shift,norm_cv,0,0.8939,0.8668,0.919,0.9173,0.8497,0.9629,33.79,76.076,3939,387,919,7.222
B,shift,norm_cal,0,0.8596,0.8203,0.8875,0.863,0.7831,0.9134,30.294,62.171,3939,387,919,7.222
B,shift,mondrian_fixed,0,0.8819,0.8404,0.9153,0.6279,0.5231,0.7204,36.082,36.082,3939,387,919,7.222
B,shift,cqr,0,0.8931,0.8733,0.9124,0.6021,0.4772,0.7383,32.773,72.926,3939,387,919,7.222
B,shift,split,1,0.9235,0.9034,0.9447,0.7352,0.6108,0.8402,38.823,38.823,3659,287,919,6.061
B,shift,oracle_global,1,0.9002,0.8771,0.9249,0.6794,0.5377,0.7954,32.464,32.464,3659,287,919,6.061
B,shift,oracle_cond,1,0.9008,0.88,0.9235,0.9059,0.8481,0.9551,31.398,63.422,3659,287,919,6.061
B,shift,norm_insample,1,0.9098,0.8873,0.9342,0.7631,0.6532,0.8464,33.914,40.803,3659,287,919,6.061
B,shift,norm_cv,1,0.9101,0.8934,0.9264,0.9199,0.8552,0.9638,28.112,68.526,3659,287,919,6.061
B,shift,norm_cal,1,0.871,0.8534,0.8887,0.8258,0.735,0.9048,26.016,60.975,3659,287,919,6.061
B,shift,mondrian_fixed,1,0.9235,0.9034,0.9447,0.7352,0.6108,0.8402,38.823,38.823,3659,287,919,6.061
B,shift,cqr,1,0.9281,0.9111,0.9433,0.7003,0.5973,0.8099,31.641,73.728,3659,287,919,6.061
B,shift,split,2,0.8988,0.8737,0.9243,0.6634,0.5222,0.7652,32.907,32.907,3549,303,919,6.129
B,shift,oracle_global,2,0.9003,0.8747,0.9253,0.6667,0.5241,0.7683,33.254,33.254,3549,303,919,6.129
B,shift,oracle_cond,2,0.9008,0.8742,0.927,0.9043,0.8299,0.9561,32.734,77.399,3549,303,919,6.129
B,shift,norm_insample,2,0.8983,0.8676,0.927,0.6997,0.5451,0.807,30.268,40.605,3549,303,919,6.129
B,shift,norm_cv,2,0.8709,0.8484,0.893,0.8515,0.7647,0.9184,25.47,54.84,3549,303,919,6.129
B,shift,norm_cal,2,0.8397,0.8136,0.8648,0.7954,0.7282,0.8626,23.03,45.443,3549,303,919,6.129
B,shift,mondrian_fixed,2,0.8988,0.8737,0.9243,0.6634,0.5222,0.7652,32.907,32.907,3549,303,919,6.129
B,shift,cqr,2,0.9048,0.8838,0.928,0.6865,0.5651,0.8071,30.937,73.681,3549,303,919,6.129
B,shift,split,3,0.8826,0.8589,0.9083,0.6238,0.5135,0.7161,32.167,32.167,3568,404,919,6.431
B,shift,oracle_global,3,0.9005,0.8782,0.9246,0.6708,0.5705,0.752,37.658,37.658,3568,404,919,6.431
B,shift,oracle_cond,3,0.9008,0.8818,0.9178,0.9035,0.8322,0.9521,33.428,71.802,3568,404,919,6.431
B,shift,norm_insample,3,0.877,0.8554,0.8994,0.6337,0.4799,0.7381,28.485,36.0,3568,404,919,6.431
B,shift,norm_cv,3,0.8899,0.8707,0.9088,0.8564,0.8053,0.8977,28.141,53.379,3568,404,919,6.431
B,shift,norm_cal,3,0.845,0.823,0.8687,0.8243,0.7486,0.9083,24.628,48.457,3568,404,919,6.431
B,shift,mondrian_fixed,3,0.8826,0.8589,0.9083,0.6238,0.5135,0.7161,32.167,32.167,3568,404,919,6.431
B,shift,cqr,3,0.8859,0.8568,0.9099,0.6609,0.5356,0.7401,31.99,72.267,3568,404,919,6.431
B,shift,split,4,0.868,0.8376,0.8981,0.6559,0.5538,0.7359,33.056,33.056,4023,372,919,7.18
B,shift,oracle_global,4,0.9003,0.872,0.926,0.7554,0.6629,0.8216,39.325,39.325,4023,372,919,7.18
B,shift,oracle_cond,4,0.9006,0.8737,0.9264,0.9032,0.8509,0.9451,37.73,56.843,4023,372,919,7.18
B,shift,norm_insample,4,0.8916,0.863,0.9156,0.7392,0.645,0.8162,33.342,40.741,4023,372,919,7.18
