seed,group,y,pred,in_split,in_norm,w_split,w_norm
0,1,40.1,75.654396,0,0,23.538597106933594,35.256416
0,4,4.85,4.2968664,1,1,23.538597106933594,1.5177352
0,9,18.2,17.778536,1,1,23.538597106933594,5.9743767
0,10,28.1,35.62079,1,1,23.538597106933594,42.49752
0,14,40.0,19.381605,0,0,23.538597106933594,26.086458
0,15,83.0,12.153381,0,0,23.538597106933594,47.94978
0,17,5.28,3.8123398,1,1,23.538597106933594,4.955035
0,22,50.7,67.3728,0,1,23.538597106933594,54.298786
0,23,14.2,13.284715,1,1,23.538597106933594,6.9800553
0,27,2.78,2.9856162,1,1,23.538597106933594,4.500977
0,30,24.8,75.712654,0,0,23.538597106933594,49.9324
0,33,17.5,13.472357,1,1,23.538597106933594,21.538385
0,37,12.0,10.425224,1,1,23.538597106933594,8.92161
0,40,1.17,2.5427613,1,1,23.538597106933594,3.6071246
0,41,3.45,4.4851956,1,1,23.538597106933594,3.433174
0,44,34.2,26.226633,1,1,23.538597106933594,19.77502
0,49,26.2,21.493006,1,1,23.538597106933594,10.779504
0,53,3.5,1.8093004,1,1,23.538597106933594,7.2664046
0,1,76.0,66.39443,1,1,23.538597106933594,30.169245
0,57,82.5,67.15045,0,1,23.538597106933594,55.6287
0,49,13.7,19.446402,1,1,23.538597106933594,36.21238
0,64,42.5,62.59638,0,1,23.538597106933594,49.600708
0,69,0.61,1.4496716,1,1,23.538597106933594,5.609443
0,70,12.7,9.109414,1,0,23.538597106933594,6.8733234
0,76,6.86,8.334283,1,1,23.538597106933594,8.740699
0,49,45.0,72.34151,0,0,23.538597106933594,49.734814
0,92,8.0,16.784184,1,0,23.538597106933594,9.605483
0,98,11.2,11.958202,1,1,23.538597106933594,6.247983
0,104,38.4,24.379637,0,1,23.538597106933594,57.84093
0,107,1.57,4.784615,1,1,23.538597106933594,8.65368
0,109,46.0,59.276543,0,1,23.538597106933594,78.29022
0,113,25.0,23.727852,1,1,23.538597106933594,15.961143
0,117,4.45,2.4593086,1,0,23.538597106933594,2.5152225
0,118,5.325,2.7303708,1,1,23.538597106933594,7.454638
0,119,14.3,30.61401,0,0,23.538597106933594,18.361433
0,121,6.966666667,10.408447,1,0,23.538597106933594,6.329625
0,124,6.44,6.1127787,1,1,23.538597106933594,4.672254
0,64,73.3,73.26353,1,1,23.538597106933594,11.0024395
0,132,7.6,6.5939856,1,1,23.538597106933594,2.646355
0,134,27.0,23.585121,1,1,23.538597106933594,65.90678
0,135,0.714,1.1661472,1,1,23.538597106933594,2.997743
0,137,29.0,20.722368,1,1,23.538597106933594,51.37053
0,138,0.11,0.91347355,1,1,23.538597106933594,3.3567977
0,141,1.97,1.9719192,1,1,23.538597106933594,6.4079075
0,1,64.0,68.90673,1,1,23.538597106933594,31.147055
0,144,5.905,3.5486603,1,0,23.538597106933594,4.653434
0,118,0.25,3.0471268,1,1,23.538597106933594,8.642155
0,148,7.2,7.2907987,1,1,23.538597106933594,3.8025117
0,149,3.37,1.7807817,1,1,23.538597106933594,5.8074317
0,1,10.4,53.81619,0,0,23.538597106933594,57.423634
0,156,2.04,1.383782,1,1,23.538597106933594,5.487448
0,169,6.358285714,3.910993,1,1,23.538597106933594,7.48466
0,27,3.32,3.0328498,1,1,23.538597106933594,4.357983
0,175,0.5,2.8598123,1,1,23.538597106933594,6.9315825
0,22,16.9,50.620857,0,1,23.538597106933594,76.54309
0,179,4.3,5.2305613,1,1,23.538597106933594,4.388818
0,182,1.29,3.5744278,1,1,23.538597106933594,6.79582
0,188,66.0,60.487087,1,1,23.538597106933594,51.9094
0,189,7.0,4.0513744,1,1,23.538597106933594,9.903287
0,191,10.05,13.123571,1,1,23.538597106933594,32.903206
0,192,7.55,7.2272105,1,1,23.538597106933594,4.626752
0,195,2.05,1.4607123,1,1,23.538597106933594,1.7439075
0,196,1.8,1.6170702,1,1,23.538597106933594,2.2346215
0,189,2.44,3.921719,1,1,23.538597106933594,9.887538
0,44,25.0,22.318695,1,1,23.538597106933594,18.479998
0,202,5.2,3.920294,1,1,23.538597106933594,7.313457
0,64,6.0,60.49929,0,0,23.538597106933594,54.882076
0,179,4.55,5.0374675,1,1,23.538597106933594,3.3806458
