seed,bin,d_median,coverage,mae,frac_hiTc,n
0,0,0.533,0.741,10.465,0.2733,1328
0,1,1.0974,0.7149,10.146,0.3009,1326
0,2,1.601,0.6305,12.118,0.3589,1329
0,3,2.5589,0.8011,7.825,0.1032,1327
0,4,4.1458,0.9465,4.356,0.0151,1328
1,0,0.4534,0.7565,9.842,0.2938,1232
1,1,0.9556,0.7238,10.734,0.3184,1231
1,2,1.6007,0.7137,10.525,0.2612,1233
1,3,2.6299,0.8044,8.419,0.1187,1222
1,4,4.0978,0.9573,3.991,0.0145,1242
2,0,0.4952,0.7671,9.819,0.2163,1327
2,1,1.003,0.7558,10.985,0.4348,1327
2,2,1.3832,0.7236,10.782,0.262,1328
2,3,2.5701,0.8838,6.39,0.0702,1325
2,4,4.0768,0.9413,4.435,0.0316,1329
3,0,0.399,0.7434,10.024,0.2375,1103
3,1,1.0914,0.7733,10.124,0.1985,1103
3,2,1.7447,0.7847,9.433,0.1317,1101
3,3,2.7904,0.8964,5.625,0.0183,1091
3,4,4.2517,0.9507,4.544,0.0269,1116
4,0,0.5262,0.7183,11.968,0.1916,1388
4,1,1.0153,0.7682,9.777,0.1502,1385
4,2,1.5021,0.5973,13.571,0.3637,1383
4,3,2.3825,0.7801,8.927,0.1298,1387
4,4,4.0317,0.8917,5.383,0.0395,1394
