regime,seed,q,mae,coverage,width_mean,n_families_eval,fam_cov_median,fam_cov_p10,frac_families_undercovered,coverage_hiTc,n_hiTc
iid,0,12.055,4.267,0.9086280814576635,24.10962677001953,146,1.0,0.6666666666666666,0.1917808219178082,0.75,376
iid,1,11.427,4.439,0.8928188638799571,22.85440444946289,160,1.0,0.5642857142857143,0.25,0.6861702127659575,376
iid,2,11.676,4.39,0.897642015005359,23.351499557495117,149,1.0,0.6,0.24161073825503357,0.75,392
iid,3,11.853,4.306,0.9021972132904609,23.706026077270508,143,1.0,0.7142857142857143,0.1888111888111888,0.736318407960199,402
iid,4,11.934,4.453,0.8968381564844587,23.86888313293457,145,1.0,0.5558441558441558,0.2206896551724138,0.6935064935064935,385
shift,0,18.041,7.222,0.8819497334348819,36.082252502441406,236,1.0,0.6,0.1694915254237288,0.627906976744186,387
shift,1,19.412,6.061,0.9234763596611096,38.82330322265625,225,1.0,0.7726495726495727,0.1111111111111111,0.735191637630662,287
shift,2,16.454,6.129,0.8988447449985911,32.9071044921875,209,1.0,0.6203703703703703,0.1722488038277512,0.6633663366336634,303
shift,3,16.084,6.431,0.882567264573991,32.16730880737305,212,1.0,0.5566666666666668,0.18867924528301888,0.6237623762376238,404
shift,4,16.528,7.18,0.8680089485458613,33.05621337890625,233,1.0,0.5037037037037038,0.19742489270386265,0.6559139784946236,372
deploy,0,11.769,7.016,0.8131505458238132,23.53860092163086,236,1.0,0.42327365728900257,0.2584745762711864,0.4470284237726098,387
deploy,1,11.498,5.795,0.8515987974856518,22.99543571472168,225,1.0,0.5,0.2222222222222222,0.554006968641115,287
deploy,2,11.421,5.898,0.8441814595660749,22.84134864807129,209,1.0,0.24000000000000005,0.2727272727272727,0.5775577557755776,303
deploy,3,9.973,6.338,0.7954035874439462,19.94621467590332,212,1.0,0.32522522522522523,0.3018867924528302,0.4628712871287129,404
deploy,4,11.696,6.796,0.8177976634352473,23.39246940612793,233,1.0,0.45594405594405596,0.24892703862660945,0.4838709677419355,372
