seed,abstain_frac,n_kept,coverage,coverage_hiTc,n_hiTc_kept,mae
0,0.0,3939,0.8132,0.447,387,7.016
0,0.1,3545,0.8025,0.4541,381,7.319
0,0.2,3151,0.7883,0.4613,375,7.755
0,0.3,2757,0.7697,0.479,357,8.272
0,0.5,1970,0.7162,0.4969,324,9.546
1,0.0,3659,0.8516,0.554,287,5.795
1,0.1,3293,0.8457,0.5579,285,5.944
1,0.2,2927,0.835,0.5643,280,6.279
1,0.3,2561,0.8208,0.5643,280,6.69
1,0.5,1830,0.7689,0.5569,255,7.997
2,0.0,3549,0.8442,0.5776,303,5.898
2,0.1,3194,0.8338,0.5795,302,6.182
2,0.2,2839,0.8161,0.5853,299,6.641
2,0.3,2484,0.7967,0.5811,296,7.199
2,0.5,1774,0.7469,0.5942,276,8.447
3,0.0,3568,0.7954,0.4629,404,6.338
3,0.1,3211,0.7814,0.4663,401,6.652
3,0.2,2854,0.7617,0.4687,399,7.085
3,0.3,2498,0.7354,0.4682,393,7.713
3,0.5,1784,0.6839,0.4918,364,8.84
4,0.0,4023,0.8178,0.4839,372,6.796
4,0.1,3621,0.8053,0.4864,368,7.102
4,0.2,3218,0.7862,0.4931,361,7.62
4,0.3,2816,0.7624,0.4944,360,8.234
4,0.5,2012,0.7182,0.5061,326,9.324
