seed,bin,d_median,n,coverage,mae,frac_hiTc
0,0,0.2381,788,0.5952,12.846,0.2411
0,1,0.8883,788,0.7563,8.413,0.1371
0,2,1.6409,787,0.8971,5.103,0.0508
0,3,2.8405,788,0.9048,4.655,0.047
0,4,4.7433,788,0.9124,4.062,0.0152
1,0,0.3962,732,0.6899,9.787,0.2227
1,1,1.0938,732,0.8019,7.779,0.1038
1,2,1.8914,730,0.9014,4.176,0.0452
1,3,2.8895,733,0.9468,3.373,0.0109
1,4,4.7485,732,0.918,3.859,0.0096
2,0,0.2287,710,0.6577,10.637,0.2507
2,1,0.9697,710,0.7986,7.083,0.1085
2,2,1.7911,709,0.8843,5.049,0.0451
2,3,2.8974,710,0.9239,3.793,0.0169
2,4,4.9907,710,0.9563,2.928,0.0056
3,0,0.2707,714,0.612,10.138,0.3081
3,1,1.0106,713,0.6872,8.771,0.1501
3,2,1.7678,714,0.8459,5.761,0.0742
3,3,2.9466,713,0.9018,3.668,0.0266
3,4,4.8071,714,0.93,3.353,0.007
4,0,0.249,805,0.6646,10.955,0.2211
4,1,0.8712,804,0.74,8.792,0.1393
4,2,1.4669,805,0.8075,6.597,0.072
4,3,2.5479,804,0.9328,4.134,0.0162
4,4,4.639,805,0.9441,3.498,0.0137
