seed,variable,bin,v_median,coverage,mae,frac_hiTc,n
0,nn_dist,0,0.2381,0.5952,12.846,0.2411,788
0,nn_dist,1,0.8883,0.7563,8.413,0.1371,788
0,nn_dist,2,1.6409,0.8971,5.103,0.0508,787
0,nn_dist,3,2.8405,0.9048,4.655,0.047,788
0,nn_dist,4,4.7433,0.9124,4.062,0.0152,788
0,pred_tc,0,2.2598,1.0,1.105,0.0,788
0,pred_tc,1,5.4195,0.9975,2.125,0.0,788
0,pred_tc,2,11.498,0.9466,4.281,0.0025,787
0,pred_tc,3,28.7804,0.6307,11.755,0.0431,788
0,pred_tc,4,68.4065,0.4911,15.812,0.4454,788
0,ens_std,0,0.3336,1.0,1.271,0.0,788
0,ens_std,1,0.6608,0.9898,1.964,0.0025,788
0,ens_std,2,1.3874,0.9606,4.082,0.0432,787
0,ens_std,3,3.0564,0.6878,10.392,0.1586,788
0,ens_std,4,6.2511,0.4277,17.368,0.2868,788
0,local_res,0,0.7136,1.0,1.343,0.0,786
0,local_res,1,1.2306,0.9975,2.197,0.0,790
0,local_res,2,2.2945,0.9339,4.226,0.014,787
0,local_res,3,5.4894,0.6523,11.057,0.1269,788
0,local_res,4,10.6127,0.4822,16.253,0.3503,788
1,nn_dist,0,0.3962,0.6899,9.787,0.2227,732
1,nn_dist,1,1.0938,0.8019,7.779,0.1038,732
1,nn_dist,2,1.8914,0.9014,4.176,0.0452,730
1,nn_dist,3,2.8895,0.9468,3.373,0.0109,733
1,nn_dist,4,4.7485,0.918,3.859,0.0096,732
1,pred_tc,0,2.3034,1.0,1.075,0.0,732
1,pred_tc,1,4.4877,0.9945,1.861,0.0,732
1,pred_tc,2,9.5585,0.9576,3.849,0.0,731
1,pred_tc,3,22.046,0.7842,7.474,0.0,732
1,pred_tc,4,65.5235,0.5219,14.714,0.3921,732
1,ens_std,0,0.3153,0.9973,1.002,0.0,732
1,ens_std,1,0.5806,0.9973,1.828,0.0,732
1,ens_std,2,1.1464,0.9644,3.494,0.0055,731
1,ens_std,3,2.7717,0.7951,7.753,0.1393,732
1,ens_std,4,5.7115,0.5041,14.895,0.2473,732
1,local_res,0,0.833,1.0,1.222,0.0,732
1,local_res,1,1.4209,0.9945,2.018,0.0,731
1,local_res,2,2.1325,0.948,3.693,0.0,731
1,local_res,3,4.8846,0.7566,8.989,0.101,723
1,local_res,4,10.2586,0.562,12.986,0.2884,742
2,nn_dist,0,0.2287,0.6577,10.637,0.2507,710
2,nn_dist,1,0.9697,0.7986,7.083,0.1085,710
2,nn_dist,2,1.7911,0.8843,5.049,0.0451,709
2,nn_dist,3,2.8974,0.9239,3.793,0.0169,710
2,nn_dist,4,4.9907,0.9563,2.928,0.0056,710
2,pred_tc,0,2.1135,1.0,1.09,0.0,710
2,pred_tc,1,4.6758,0.9958,1.816,0.0,710
2,pred_tc,2,9.9613,0.9787,3.486,0.0014,705
2,pred_tc,3,23.1011,0.7395,7.936,0.0084,714
2,pred_tc,4,66.7267,0.5085,15.136,0.4169,710
2,ens_std,0,0.3094,0.9986,1.159,0.0,710
2,ens_std,1,0.5433,0.9972,1.749,0.0,710
2,ens_std,2,1.0216,0.9859,3.111,0.0268,709
2,ens_std,3,2.509,0.7493,8.016,0.1662,710
2,ens_std,4,5.2862,0.4901,15.452,0.2338,710
2,local_res,0,0.8343,0.9944,1.426,0.0,710
