seed,variable,spearman_rho_vs_violation,p_value
0,nn_dist,-0.2834,1.161716393693969e-73
0,pred_tc,0.4954,4.3920367702906177e-243
0,ens_std,0.533,4.442238405521026e-288
0,local_res,0.5075,6.145133114504897e-257
1,nn_dist,-0.2353,3.1933308288877683e-47
1,pred_tc,0.4616,1.5091138211878061e-192
1,ens_std,0.4849,3.462162460850326e-215
1,local_res,0.4523,4.765872666053012e-184
2,nn_dist,-0.2803,4.436989246805782e-65
2,pred_tc,0.4721,1.6326983587341464e-196
2,ens_std,0.4971,6.328139757245762e-221
2,local_res,0.4768,6.15724875040122e-201
3,nn_dist,-0.2905,2.377744408373546e-70
3,pred_tc,0.5117,2.0269625095941123e-237
3,ens_std,0.5447,7.07404565042642e-275
3,local_res,0.5178,5.2648746499374546e-244
4,nn_dist,-0.2654,8.075255574285777e-66
4,pred_tc,0.4691,2.5506688782713318e-219
4,ens_std,0.4967,1.1998585557875511e-249
4,local_res,0.4711,2.2974306687589965e-221
