dataset,config,es_publicada,max_depth,learning_rate,min_child_weight,n_estimators,subsample,colsample_bytree,MAE_random,MAE_grouped,R2_random,R2_grouped,gap_K,inflacion_pct,MAE_random_folds,MAE_grouped_folds,procedencia
A,publicada,True,8,0.07,1,250,0.9,0.7,5.230280243629458,8.31316641925921,0.9282770398222394,0.8546006935917875,3.082886175629751,58.94303999072979,5.1337;5.3162;5.1142;5.3318;5.2555,8.5037;7.2729;8.7426;8.3397;8.7072,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d4,lr0.05,mcw1",False,4,0.05,1,300,0.9,0.7,7.110741126950379,9.19405725725966,0.8974911826409551,0.8358821877503086,2.0833161303092806,29.298157436969774,7.0275;7.2335;6.9417;7.2649;7.0861,9.0820;8.3902;9.6293;9.4454;9.4235,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d4,lr0.05,mcw10",False,4,0.05,10,300,0.9,0.7,7.130288408987698,9.162531466694997,0.8965378284446976,0.8369795561686696,2.0322430577072987,28.501554791888427,7.0698;7.2095;6.9751;7.2493;7.1478,9.0541;8.2555;9.4791;9.4665;9.5576,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d4,lr0.1,mcw1",False,4,0.1,1,300,0.9,0.7,6.476382041286439,8.920378624716223,0.909963906190971,0.8414748082138555,2.443996583429784,37.73706627943647,6.4413;6.5340;6.2912;6.6111;6.5043,8.8779;7.9945;9.3495;9.3138;9.0663,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d4,lr0.1,mcw10",False,4,0.1,10,300,0.9,0.7,6.486895489661796,9.054489949142262,0.9097146223589528,0.8381596026511826,2.567594459480466,39.58125213474544,6.4132;6.5795;6.2896;6.6131;6.5390,9.0519;8.1376;9.6443;9.3884;9.0502,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d6,lr0.05,mcw1",False,6,0.05,1,300,0.9,0.7,5.858233595215578,8.528256467660826,0.9212339947481827,0.8524017498196134,2.670022872445248,45.57726879696051,5.7961;5.8999;5.7043;6.0180;5.8729,8.6657;7.7354;8.7386;8.7027;8.7990,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d6,lr0.05,mcw10",False,6,0.05,10,300,0.9,0.7,5.932669047383242,8.507936637311941,0.9192954005577614,0.8529864205127408,2.575267589928699,43.408246260839164,5.8441;5.9932;5.7919;6.0750;5.9592,8.8309;7.7023;8.4532;8.6876;8.8658,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d6,lr0.1,mcw1",False,6,0.1,1,300,0.9,0.7,5.4963912460374935,8.528273168281077,0.9258210878228781,0.8477679449981464,3.031881922243583,55.16131924613907,5.3995;5.5382;5.3569;5.6561;5.5314,8.5278;7.6770;8.7185;8.8089;8.9092,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d6,lr0.1,mcw10",False,6,0.1,10,300,0.9,0.7,5.5488628892134715,8.457676432342462,0.9251131688295984,0.8505082707348648,2.90881354312899,52.4217952615748,5.4701;5.6289;5.3840;5.6611;5.6002,8.5986;7.7949;8.4751;8.7167;8.7034,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d8,lr0.05,mcw1",False,8,0.05,1,300,0.9,0.7,5.265758531070903,8.343066107639821,0.9287191981853544,0.8534202518435818,3.077307576568918,58.43996754524714,5.1802;5.3880;5.1252;5.3932;5.2422,8.4293;7.4029;8.8696;8.4356;8.5780,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d8,lr0.05,mcw10",False,8,0.05,10,300,0.9,0.7,5.368400872588597,8.318585212858805,0.9274460999042926,0.8542200773321788,2.9501843402702077,54.95462075744082,5.2932;5.4614;5.2127;5.4915;5.3833,8.4990;7.4310;8.5445;8.4264;8.6922,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d8,lr0.1,mcw1",False,8,0.1,1,300,0.9,0.7,5.1489443222982585,8.398325967655003,0.928138156837807,0.8506168818902988,3.2493816453567446,63.10772542800318,5.0739;5.2265;5.0050;5.2983;5.1411,8.4502;7.3679;8.7621;8.6472;8.7645,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d8,lr0.1,mcw10",False,8,0.1,10,300,0.9,0.7,5.1840549363860955,8.39334600890555,0.9287702909043682,0.8513951547930654,3.209291072519454,61.90696495119923,5.1109;5.2466;5.0434;5.3225;5.1970,8.5558;7.5804;8.6336;8.4492;8.7477,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d10,lr0.05,mcw1",False,10,0.05,1,300,0.9,0.7,5.054660152807814,8.424549624783436,0.9287055315091262,0.85057329035259,3.3698894719756227,66.66896230607477,4.9065;5.1556;4.9154;5.1875;5.1083,8.5515;7.4099;9.2588;8.2156;8.6871,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d10,lr0.05,mcw10",False,10,0.05,10,300,0.9,0.7,5.107512843743334,8.346099987723752,0.9297184209403904,0.8534775202759046,3.2385871439804186,63.408301517002826,5.0034;5.1766;4.9700;5.2509;5.1366,8.6540;7.4261;8.9903;8.0862;8.5739,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d10,lr0.1,mcw1",False,10,0.1,1,300,0.9,0.7,5.049639275860862,8.521172845593716,0.926840531634765,0.8444369927188601,3.4715335697328538,68.74814972087341,4.9272;5.1217;4.9321;5.1705;5.0967,8.7214;7.5343;9.0132;8.4272;8.9099,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d10,lr0.1,mcw10",False,10,0.1,10,300,0.9,0.7,5.056939468493857,8.306381238175122,0.9287916386780298,0.8534651505465438,3.2494417696812654,64.25708256794833,4.9661;5.0986;4.9563;5.1574;5.1063,8.6313;7.4912;8.5044;8.2457;8.6593,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
B,publicada,True,10,0.05,1,300,0.8,0.8,3.9146463900614337,6.16977548244124,0.928375924043758,0.8533613291770861,2.2551290923798066,57.60747887996127,3.7015;4.0742;3.8706;3.9713;3.9556,6.4398;6.3147;6.4464;6.1359;5.5121,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
B,"d4,lr0.05,mcw1",False,4,0.05,1,300,0.8,0.8,5.715120484623435,7.020496508770178,0.8960181840664834,0.8374526619939869,1.3053760241467423,22.840743736879453,5.5162;5.8504;5.7947;5.6387;5.7756,7.2751;7.3694;7.2533;7.0023;6.2024,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
