dataset,outer_fold,n_test,n_familias_test,config_ganadora,MAE_interna_ganadora,MAE_externa_ganadora,MAE_externa_publicada,ranking_interno,procedencia
A,0,4253,671,"d10,lr0.05,mcw10",8.469236777995649,8.65403397577833,8.503685883162076,"d10,lr0.05,mcw10=8.469;d8,lr0.05,mcw10=8.480;d8,lr0.05,mcw1=8.524;d10,lr0.05,mcw1=8.531;d8,lr0.1,mcw10=8.540","results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,1,4253,674,"d10,lr0.05,mcw10",9.029934813340137,7.426108494643458,7.272852452658519,"d10,lr0.05,mcw10=9.030;d8,lr0.1,mcw10=9.035;d10,lr0.1,mcw10=9.065;d8,lr0.05,mcw10=9.071;d10,lr0.05,mcw1=9.121","results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,2,4253,674,"d10,lr0.05,mcw10",8.530057838141808,8.990282565177369,8.742586536693773,"d10,lr0.05,mcw10=8.530;d8,lr0.1,mcw10=8.545;d10,lr0.1,mcw10=8.583;d8,lr0.05,mcw10=8.583;d8,lr0.05,mcw1=8.593","results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,3,4252,673,"d10,lr0.05,mcw10",8.401250361795082,8.086211377240334,8.339650417287418,"d10,lr0.05,mcw10=8.401;d8,lr0.1,mcw1=8.452;d8,lr0.05,mcw1=8.457;d10,lr0.05,mcw1=8.459;d8,lr0.05,mcw10=8.462","results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,4,4252,673,"d8,lr0.05,mcw10",8.359800745605229,8.692192617978135,8.707155671589577,"d8,lr0.05,mcw10=8.360;d8,lr0.05,mcw1=8.369;d8,lr0.1,mcw10=8.378;d10,lr0.05,mcw10=8.383;d10,lr0.1,mcw10=8.469","results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
B,0,2488,612,"d8,lr0.05,mcw1",6.700968053712342,6.481705824869565,6.43977539861812,"d8,lr0.05,mcw1=6.701;d10,lr0.05,mcw10=6.718;d10,lr0.05,mcw1=6.721;d8,lr0.05,mcw10=6.745;d10,lr0.1,mcw10=6.745","results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
B,1,2488,612,"d10,lr0.1,mcw1",6.474178327273597,6.2865955926189585,6.314716651250747,"d10,lr0.1,mcw1=6.474;d10,lr0.05,mcw1=6.492;d8,lr0.05,mcw1=6.513;d10,lr0.05,mcw10=6.517;d8,lr0.05,mcw10=6.528","results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
B,2,2488,613,"d8,lr0.1,mcw1",6.624602576564043,6.467171913139081,6.446441495336468,"d8,lr0.1,mcw1=6.625;d8,lr0.05,mcw1=6.641;d10,lr0.05,mcw1=6.646;d8,lr0.1,mcw10=6.671;d10,lr0.05,mcw10=6.672","results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
B,3,2488,613,"d10,lr0.05,mcw10",6.779558433118053,6.342597901921178,6.135862477343737,"d10,lr0.05,mcw10=6.780;d10,lr0.1,mcw10=6.793;d10,lr0.05,mcw1=6.874;d10,lr0.1,mcw1=6.899;d8,lr0.1,mcw10=6.903","results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
B,4,2488,613,"d10,lr0.05,mcw10",6.848291271470376,5.553699279712763,5.512081389657131,"d10,lr0.05,mcw10=6.848;d10,lr0.05,mcw1=6.860;d8,lr0.05,mcw1=6.874;d8,lr0.05,mcw10=6.878;d10,lr0.1,mcw10=6.914","results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
