dataset,representacion,split,MAE,RMSE,R2,top100_mean,top100_std,n_features,N,k_familias,top100_folds,procedencia
A,features_completas_paper,aleatorio_KFold5,5.230280243629458,9.173493949569682,0.9282770398222394,0.984,0.01200000000000001,81,21263,3365,0.9900;0.9900;0.9700;0.9700;1.0000,"script=results_v2/run_v2_measurements.py | tc_pipeline.make_models: XGB n_est=250 depth=8 lr=0.07 sub=0.9 col=0.7 gamma=0 alpha=0.01 | seed=42 | rep=81 estadisticas Hamidieh (train.csv) | grupos=tc_pipeline.chemical_families(unique_m.csv) | top100: K=100, umbral=p90(y_fold_entrenamiento), OOF pooled MAE/RMSE/R2 | split=KFold(5,shuffle,rs=42)"
A,features_completas_paper,GroupKFold5_familias,8.31316641925921,13.06131319511743,0.8546006935917875,0.8699999999999999,0.11027239001672177,81,21263,3365,0.8800;0.7000;1.0000;0.9700;0.8000,"script=results_v2/run_v2_measurements.py | tc_pipeline.make_models: XGB n_est=250 depth=8 lr=0.07 sub=0.9 col=0.7 gamma=0 alpha=0.01 | seed=42 | rep=81 estadisticas Hamidieh (train.csv) | grupos=tc_pipeline.chemical_families(unique_m.csv) | top100: K=100, umbral=p90(y_fold_entrenamiento), OOF pooled MAE/RMSE/R2 | split=GroupKFold(5) determinista"
A,presencia_elementos,aleatorio_KFold5,8.421377304498526,13.403365647718946,0.8468854794499722,0.9560000000000001,0.027999999999999983,86,21263,3365,0.9300;0.9900;0.9300;0.9400;0.9900,"script=results_v2/run_v2_measurements.py | tc_pipeline.make_models: XGB n_est=250 depth=8 lr=0.07 sub=0.9 col=0.7 gamma=0 alpha=0.01 | seed=42 | rep=86 indicadores binarios (unique_m>0) | grupos=tc_pipeline.chemical_families(unique_m.csv) | top100: K=100, umbral=p90(y_fold_entrenamiento), OOF pooled MAE/RMSE/R2 | split=KFold(5,shuffle,rs=42)"
A,presencia_elementos,GroupKFold5_familias,10.034888306152128,15.219860631353734,0.8025714303400686,0.8419999999999999,0.15091719583930782,86,21263,3365,0.8800;0.8300;0.9700;0.9700;0.5600,"script=results_v2/run_v2_measurements.py | tc_pipeline.make_models: XGB n_est=250 depth=8 lr=0.07 sub=0.9 col=0.7 gamma=0 alpha=0.01 | seed=42 | rep=86 indicadores binarios (unique_m>0) | grupos=tc_pipeline.chemical_families(unique_m.csv) | top100: K=100, umbral=p90(y_fold_entrenamiento), OOF pooled MAE/RMSE/R2 | split=GroupKFold(5) determinista"
A,nulo_media_familia,aleatorio_KFold5,9.403676677779593,15.297150394381692,0.8005611685483676,0.958,0.030594117081556703,0,21263,3365,0.9400;0.9900;0.9100;0.9600;0.9900,"script=results_v2/run_v2_measurements.py | predictor SIN features: media de Tc de la familia en el fold de entrenamiento (media global si familia no vista) | seed=42 | grupos=tc_pipeline.chemical_families(unique_m.csv) | top100: K=100, umbral=p90(y_fold_entrenamiento)"
A,nulo_media_familia,GroupKFold5_familias,29.413491026998773,34.37045945237111,-0.006837362396912017,0.11599999999999999,0.1089219904335208,0,21263,3365,0.3100;0.0000;0.1500;0.0800;0.0400,"script=results_v2/run_v2_measurements.py | predictor SIN features: media de Tc de la familia en el fold de entrenamiento (media global si familia no vista) | seed=42 | grupos=tc_pipeline.chemical_families(unique_m.csv) | top100: K=100, umbral=p90(y_fold_entrenamiento)"
B,features_completas_paper,aleatorio_KFold5,3.9146463900614337,7.6795602885820795,0.928375924043758,0.96,0.006324555320336764,132,12440,3063,0.9700;0.9600;0.9600;0.9500;0.9600,"script=results_v2/run_v2_measurements.py | datasetB_pipeline.make_models: XGB n_est=300 depth=10 lr=0.05 sub=0.8 col=0.8 | seed=42 | rep=132 Magpie matminer (npz checkpoint) | grupos=npz 'groups' (== factorize de '|'.join(sorted(elems)), particion verificada) | top100: K=100, umbral=p90(y_fold_entrenamiento), OOF pooled MAE/RMSE/R2 | split=KFold(5,shuffle,rs=42)"
B,features_completas_paper,GroupKFold5_familias,6.16977548244124,10.988314875800564,0.8533613291770861,0.852,0.05912698199637795,132,12440,3063,0.9000;0.7400;0.9000;0.8700;0.8500,"script=results_v2/run_v2_measurements.py | datasetB_pipeline.make_models: XGB n_est=300 depth=10 lr=0.05 sub=0.8 col=0.8 | seed=42 | rep=132 Magpie matminer (npz checkpoint) | grupos=npz 'groups' (== factorize de '|'.join(sorted(elems)), particion verificada) | top100: K=100, umbral=p90(y_fold_entrenamiento), OOF pooled MAE/RMSE/R2 | split=GroupKFold(5) determinista"
B,presencia_elementos,aleatorio_KFold5,6.404795712417537,11.263945131850885,0.8459125116067998,0.8,0.030983866769659314,83,12440,3063,0.8200;0.7900;0.8500;0.7700;0.7700,"script=results_v2/run_v2_measurements.py | datasetB_pipeline.make_models: XGB n_est=300 depth=10 lr=0.05 sub=0.8 col=0.8 | seed=42 | rep=83 indicadores binarios (pymatgen Composition) | grupos=npz 'groups' (== factorize de '|'.join(sorted(elems)), particion verificada) | top100: K=100, umbral=p90(y_fold_entrenamiento), OOF pooled MAE/RMSE/R2 | split=KFold(5,shuffle,rs=42)"
B,presencia_elementos,GroupKFold5_familias,7.998239679388068,13.48165396364962,0.779264250588492,0.6679999999999999,0.1331765745166919,83,12440,3063,0.7200;0.5600;0.8900;0.6600;0.5100,"script=results_v2/run_v2_measurements.py | datasetB_pipeline.make_models: XGB n_est=300 depth=10 lr=0.05 sub=0.8 col=0.8 | seed=42 | rep=83 indicadores binarios (pymatgen Composition) | grupos=npz 'groups' (== factorize de '|'.join(sorted(elems)), particion verificada) | top100: K=100, umbral=p90(y_fold_entrenamiento), OOF pooled MAE/RMSE/R2 | split=GroupKFold(5) determinista"
B,nulo_media_familia,aleatorio_KFold5,8.192329302705158,13.940513262992036,0.7639826925127855,0.8019999999999999,0.014696938456699053,0,12440,3063,0.8100;0.7900;0.8200;0.8100;0.7800,"script=results_v2/run_v2_measurements.py | predictor SIN features: media de Tc de la familia en el fold de entrenamiento (media global si familia no vista) | seed=42 | grupos=npz 'groups' (== factorize de '|'.join(sorted(elems)), particion verificada) | top100: K=100, umbral=p90(y_fold_entrenamiento)"
B,nulo_media_familia,GroupKFold5_familias,22.66892083163167,28.742178097920217,-0.0032881342026689353,0.096,0.04454211490264018,0,12440,3063,0.0800;0.0600;0.1800;0.1000;0.0600,"script=results_v2/run_v2_measurements.py | predictor SIN features: media de Tc de la familia en el fold de entrenamiento (media global si familia no vista) | seed=42 | grupos=npz 'groups' (== factorize de '|'.join(sorted(elems)), particion verificada) | top100: K=100, umbral=p90(y_fold_entrenamiento)"
