dataset,representacion,seed,top100_pct,top100_std_folds_pct,MAE,R2,top100_folds,procedencia
A,features_completas_paper,42,88.60000000000001,8.912911982062877,8.23810112746509,0.8545232872424999,0.8500;0.8900;1.0000;0.9500;0.7400,"script=results_v2/run_v2_measurements.py | tc_pipeline.make_models: XGB n_est=250 depth=8 lr=0.07 sub=0.9 col=0.7 gamma=0 alpha=0.01 | seed=42 (semilla del modelo Y de la asignacion de folds) | split=GroupKFold(5,shuffle=True,random_state=seed) | top100: K=100, umbral=p90(y_fold_entrenamiento)"
A,features_completas_paper,0,92.4,8.01498596380555,8.243445895573993,0.8566484714667997,0.9500;0.7900;1.0000;0.8800;1.0000,"script=results_v2/run_v2_measurements.py | tc_pipeline.make_models: XGB n_est=250 depth=8 lr=0.07 sub=0.9 col=0.7 gamma=0 alpha=0.01 | seed=0 (semilla del modelo Y de la asignacion de folds) | split=GroupKFold(5,shuffle=True,random_state=seed) | top100: K=100, umbral=p90(y_fold_entrenamiento)"
A,features_completas_paper,1,95.60000000000001,3.261901286060017,8.119162370011303,0.86155959887829,0.9400;0.9300;0.9200;1.0000;0.9900,"script=results_v2/run_v2_measurements.py | tc_pipeline.make_models: XGB n_est=250 depth=8 lr=0.07 sub=0.9 col=0.7 gamma=0 alpha=0.01 | seed=1 (semilla del modelo Y de la asignacion de folds) | split=GroupKFold(5,shuffle=True,random_state=seed) | top100: K=100, umbral=p90(y_fold_entrenamiento)"
A,features_completas_paper,2,88.79999999999998,10.067770358922576,8.261918564553447,0.8557598571698335,0.8300;0.9500;1.0000;0.7200;0.9400,"script=results_v2/run_v2_measurements.py | tc_pipeline.make_models: XGB n_est=250 depth=8 lr=0.07 sub=0.9 col=0.7 gamma=0 alpha=0.01 | seed=2 (semilla del modelo Y de la asignacion de folds) | split=GroupKFold(5,shuffle=True,random_state=seed) | top100: K=100, umbral=p90(y_fold_entrenamiento)"
A,features_completas_paper,3,89.0,4.242640687119286,8.352498339656334,0.8535871504505845,0.8200;0.8900;0.9100;0.8800;0.9500,"script=results_v2/run_v2_measurements.py | tc_pipeline.make_models: XGB n_est=250 depth=8 lr=0.07 sub=0.9 col=0.7 gamma=0 alpha=0.01 | seed=3 (semilla del modelo Y de la asignacion de folds) | split=GroupKFold(5,shuffle=True,random_state=seed) | top100: K=100, umbral=p90(y_fold_entrenamiento)"
A,presencia_elementos,42,80.59999999999998,10.66958293467931,9.97339637130121,0.804413351380456,0.7900;0.7300;0.9900;0.8400;0.6800,"script=results_v2/run_v2_measurements.py | tc_pipeline.make_models: XGB n_est=250 depth=8 lr=0.07 sub=0.9 col=0.7 gamma=0 alpha=0.01 | seed=42 (semilla del modelo Y de la asignacion de folds) | split=GroupKFold(5,shuffle=True,random_state=seed) | top100: K=100, umbral=p90(y_fold_entrenamiento)"
A,presencia_elementos,0,86.19999999999999,8.97552226892675,10.040241916483533,0.8014928899922615,0.7800;0.7500;0.9300;0.8600;0.9900,"script=results_v2/run_v2_measurements.py | tc_pipeline.make_models: XGB n_est=250 depth=8 lr=0.07 sub=0.9 col=0.7 gamma=0 alpha=0.01 | seed=0 (semilla del modelo Y de la asignacion de folds) | split=GroupKFold(5,shuffle=True,random_state=seed) | top100: K=100, umbral=p90(y_fold_entrenamiento)"
A,presencia_elementos,1,88.4,8.114185110040314,9.996570684792784,0.8022377456424497,0.7800;0.9700;0.8100;0.9800;0.8800,"script=results_v2/run_v2_measurements.py | tc_pipeline.make_models: XGB n_est=250 depth=8 lr=0.07 sub=0.9 col=0.7 gamma=0 alpha=0.01 | seed=1 (semilla del modelo Y de la asignacion de folds) | split=GroupKFold(5,shuffle=True,random_state=seed) | top100: K=100, umbral=p90(y_fold_entrenamiento)"
A,presencia_elementos,2,80.39999999999999,17.21162397916013,10.128425255896145,0.7977258926125197,0.7400;0.9100;0.9900;0.5000;0.8800,"script=results_v2/run_v2_measurements.py | tc_pipeline.make_models: XGB n_est=250 depth=8 lr=0.07 sub=0.9 col=0.7 gamma=0 alpha=0.01 | seed=2 (semilla del modelo Y de la asignacion de folds) | split=GroupKFold(5,shuffle=True,random_state=seed) | top100: K=100, umbral=p90(y_fold_entrenamiento)"
A,presencia_elementos,3,80.19999999999999,11.582745788456208,10.03381394003021,0.8028083196825068,0.6500;0.8800;0.7300;0.7700;0.9800,"script=results_v2/run_v2_measurements.py | tc_pipeline.make_models: XGB n_est=250 depth=8 lr=0.07 sub=0.9 col=0.7 gamma=0 alpha=0.01 | seed=3 (semilla del modelo Y de la asignacion de folds) | split=GroupKFold(5,shuffle=True,random_state=seed) | top100: K=100, umbral=p90(y_fold_entrenamiento)"
