dataset,modelo,scheme,fold_std_mean,fold_rango_mean,fold_min,fold_max,procedencia
A,RandomForest,grouped_noshuffle,0.565938430010988,1.7613028000000006,7.679529,9.493249,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,RandomForest,grouped_shuffle,0.8764290543943792,2.4401177999999994,6.859096,10.551819,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,RandomForest,random_shuffle,0.10111566856638166,0.2839561999999999,5.168214,5.764614,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,XGBoost,grouped_noshuffle,0.5124511877132247,1.4432245999999995,7.433091,9.31312,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,XGBoost,grouped_shuffle,0.730075448640442,2.0559827999999998,6.645773,10.112727,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,XGBoost,random_shuffle,0.10928032384670117,0.3129208000000002,5.06026,5.581463,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,RandomForest,grouped_noshuffle,0.44717425201680366,1.2420518000000003,5.604709,6.893676,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,RandomForest,grouped_shuffle,0.6031557152862652,1.6743448,5.383167,7.939483,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,RandomForest,random_shuffle,0.10622886734210046,0.2941983999999998,4.093386,4.490971,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,XGBoost,grouped_noshuffle,0.34377742033587944,0.9801725999999998,5.507569,6.595799,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,XGBoost,grouped_shuffle,0.5857414884520525,1.6189140000000002,4.896043,7.617699,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,XGBoost,random_shuffle,0.1094280534288549,0.29706720000000003,3.676119,4.093256,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
