dataset,modelo,scheme,seed,fold_MAE_std,fold_MAE_min,fold_MAE_max,fold_MAE_rango,pooled_MAE,procedencia
B,RandomForest,random_shuffle,0,0.06872383927168207,4.222067,4.421135,0.19906799999999958,4.328377167048382,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,RandomForest,random_shuffle,1,0.09763610428934574,4.174155,4.433405,0.25924999999999976,4.3079519927111445,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,RandomForest,random_shuffle,2,0.10634573534843783,4.153374,4.465222,0.31184799999999946,4.305686376537128,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,RandomForest,random_shuffle,3,0.13539412123870084,4.093386,4.490971,0.3975850000000003,4.305892785587675,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,RandomForest,random_shuffle,4,0.12304453656233587,4.154533,4.457774,0.30324099999999987,4.334809761689598,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,RandomForest,grouped_shuffle,0,0.8116128531616535,5.383167,7.86506,2.4818929999999995,6.582065928599402,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,RandomForest,grouped_shuffle,1,0.5547550453465385,5.915989,7.268769,1.35278,6.610292611679701,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,RandomForest,grouped_shuffle,2,0.4448658394138171,5.866288,7.142706,1.2764180000000005,6.552994154854852,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,RandomForest,grouped_shuffle,3,0.7755536418688265,5.750761,7.939483,2.1887220000000003,6.578894233770657,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,RandomForest,grouped_shuffle,4,0.4289911966404905,5.9572,7.029111,1.071911,6.586265033058414,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
