dataset,modelo,seed,inflacion_pct
B,RandomForest,0,52.0677536770175
B,RandomForest,1,53.44397112279827
B,RandomForest,2,52.1939496235472
B,RandomForest,3,52.78815709928921
B,RandomForest,4,51.93896376415041
A,RandomForest,0,61.487908696808844
A,RandomForest,1,57.74619193637189
A,RandomForest,2,58.92550907685825
A,RandomForest,3,60.91137403616322
A,RandomForest,4,58.56264963089716
A,XGBoost,0,57.18242434495175
A,XGBoost,1,54.36555113512011
A,XGBoost,2,57.17281308224387
A,XGBoost,3,59.31510931556296
A,XGBoost,4,56.297698143889534
B,XGBoost,0,60.27287899908846
B,XGBoost,1,61.2557904245563
B,XGBoost,2,60.777143025841916
B,XGBoost,3,61.511805667665406
B,XGBoost,4,60.25788179110963
