dataset,modelo,scheme,seed,MAE,R2,n,n_familias,fold_sizes,fold_familias,fold_MAE,familias_compartidas_tr_te,segundos
B,RandomForest,random_shuffle,0,4.328377167048382,0.9157517948622357,12440,3063,"[2488, 2488, 2488, 2488, 2488]","[1344, 1349, 1310, 1312, 1318]","[4.381127, 4.421135, 4.299884, 4.317674, 4.222067]",5207,211.9
B,RandomForest,random_shuffle,1,4.3079519927111445,0.9157040092291406,12440,3063,"[2488, 2488, 2488, 2488, 2488]","[1316, 1313, 1316, 1327, 1307]","[4.174155, 4.433405, 4.222529, 4.320698, 4.388973]",5129,207.8
B,RandomForest,random_shuffle,2,4.305686376537128,0.917340380913348,12440,3063,"[2488, 2488, 2488, 2488, 2488]","[1329, 1307, 1320, 1327, 1316]","[4.235873, 4.360044, 4.313917, 4.153374, 4.465222]",5171,207.1
B,RandomForest,random_shuffle,3,4.305892785587675,0.9179837638789883,12440,3063,"[2488, 2488, 2488, 2488, 2488]","[1287, 1367, 1310, 1318, 1333]","[4.278581, 4.093386, 4.490971, 4.403976, 4.262551]",5177,218.5
B,RandomForest,random_shuffle,4,4.334809761689598,0.9157314847117064,12440,3063,"[2488, 2488, 2488, 2488, 2488]","[1300, 1318, 1318, 1338, 1313]","[4.449892, 4.224785, 4.154533, 4.387064, 4.457774]",5146,209.6
B,RandomForest,grouped_shuffle,0,6.582065928599402,0.8318236753275813,12440,3063,"[2594, 2736, 2326, 2331, 2453]","[613, 613, 613, 612, 612]","[6.633403, 7.86506, 5.383167, 6.122822, 6.669998]",0,210.8
B,RandomForest,grouped_shuffle,1,6.610292611679701,0.8349521867275937,12440,3063,"[2328, 2518, 2545, 2473, 2576]","[613, 613, 613, 612, 612]","[6.438425, 6.151501, 7.229594, 5.915989, 7.268769]",0,207.9
B,RandomForest,grouped_shuffle,2,6.552994154854852,0.8388723705002147,12440,3063,"[2403, 2521, 2478, 2497, 2541]","[613, 613, 613, 612, 612]","[5.866288, 6.358002, 6.461871, 7.142706, 6.905227]",0,209.6
B,RandomForest,grouped_shuffle,3,6.578894233770657,0.8351022008769199,12440,3063,"[2508, 2353, 2336, 2946, 2297]","[613, 613, 613, 612, 612]","[6.667789, 5.750761, 6.040945, 7.939483, 6.132227]",0,258.6
B,RandomForest,grouped_shuffle,4,6.586265033058414,0.8346862669335675,12440,3063,"[2522, 2638, 2476, 2420, 2384]","[613, 613, 613, 612, 612]","[7.029111, 6.21008, 6.777588, 5.9572, 6.973908]",0,254.9
B,RandomForest,grouped_noshuffle,0,6.473069380342321,0.8420695351635554,12440,3063,"[2488, 2488, 2488, 2488, 2488]","[612, 612, 613, 613, 613]","[6.712467, 6.712863, 6.886491, 6.448817, 5.604709]",0,255.6
B,RandomForest,grouped_noshuffle,1,6.450410667926607,0.8434041042727165,12440,3063,"[2488, 2488, 2488, 2488, 2488]","[612, 612, 613, 613, 613]","[6.731234, 6.665148, 6.856754, 6.354042, 5.644874]",0,255.6
B,RandomForest,grouped_noshuffle,2,6.470136579698836,0.8414642130063359,12440,3063,"[2488, 2488, 2488, 2488, 2488]","[612, 612, 613, 613, 613]","[6.667321, 6.769519, 6.865496, 6.415099, 5.633248]",0,255.9
B,RandomForest,grouped_noshuffle,3,6.4905575851450905,0.8419720126551273,12440,3063,"[2488, 2488, 2488, 2488, 2488]","[612, 612, 613, 613, 613]","[6.764606, 6.759792, 6.855303, 6.440514, 5.632573]",0,260.4
B,RandomForest,grouped_noshuffle,4,6.459417011750189,0.8432158626183874,12440,3063,"[2488, 2488, 2488, 2488, 2488]","[612, 612, 613, 613, 613]","[6.704969, 6.706275, 6.893676, 6.360109, 5.632057]",0,257.8
A,RandomForest,random_shuffle,0,5.4014366178179865,0.9233997585783248,21263,3365,"[4253, 4253, 4253, 4252, 4252]","[1607, 1646, 1667, 1634, 1675]","[5.481101, 5.324485, 5.467946, 5.386462, 5.347172]",6948,7.2
A,RandomForest,random_shuffle,1,5.412838575458317,0.9238779222556663,21263,3365,"[4253, 4253, 4253, 4252, 4252]","[1630, 1646, 1682, 1645, 1632]","[5.453939, 5.450058, 5.283729, 5.428872, 5.447607]",6953,6.8
A,RandomForest,random_shuffle,2,5.400844959389678,0.9244912919830285,21263,3365,"[4253, 4253, 4253, 4252, 4252]","[1635, 1671, 1627, 1646, 1658]","[5.332106, 5.426109, 5.354089, 5.569284, 5.322659]",6952,6.9
A,RandomForest,random_shuffle,3,5.3914209386725105,0.9244197823404899,21263,3365,"[4253, 4253, 4253, 4252, 4252]","[1633, 1644, 1624, 1632, 1682]","[5.313862, 5.332571, 5.339496, 5.563792, 5.407428]",6926,6.7
A,RandomForest,random_shuffle,4,5.42502893937633,0.9230907308054714,21263,3365,"[4253, 4253, 4253, 4252, 4252]","[1649, 1617, 1696, 1642, 1627]","[5.764614, 5.350097, 5.397399, 5.444765, 5.168214]",6963,8.0
A,RandomForest,grouped_shuffle,0,8.72266703369791,0.8452162596581755,21263,3365,"[4816, 4325, 4424, 3998, 3700]","[673, 673, 673, 673, 673]","[9.530375, 9.19865, 8.75676, 8.193268, 7.646225]",0,7.5
A,RandomForest,grouped_shuffle,1,8.538546728448456,0.8509791572892909,21263,3365,"[4042, 3962, 5081, 4617, 3561]","[673, 673, 673, 673, 673]","[8.456599, 8.153988, 9.97309, 8.024784, 7.678671]",0,7.9
A,RandomForest,grouped_shuffle,2,8.583320346161884,0.849198085990389,21263,3365,"[3969, 4560, 4809, 3849, 4076]","[673, 673, 673, 673, 673]","[7.924611, 9.442781, 8.90165, 7.392726, 9.011934]",0,8.1
A,RandomForest,grouped_shuffle,3,8.675409512491346,0.8447685843044843,21263,3365,"[3728, 4265, 4408, 5033, 3829]","[673, 673, 673, 673, 673]","[7.564751, 8.998098, 7.829179, 9.076751, 9.843993]",0,6.7
A,RandomForest,grouped_shuffle,4,8.602069629518066,0.8483222291206246,21263,3365,"[5206, 4679, 3821, 3758, 3799]","[673, 673, 673, 673, 673]","[10.551819, 9.206254, 7.645785, 7.883109, 6.859096]",0,6.8
A,RandomForest,grouped_noshuffle,0,8.69204271850634,0.8448087616588692,21263,3365,"[4253, 4253, 4253, 4252, 4252]","[671, 674, 674, 673, 673]","[8.79972, 7.680374, 9.450459, 8.753293, 8.776402]",0,6.5
A,RandomForest,grouped_noshuffle,1,8.701686260525431,0.8447658202439848,21263,3365,"[4253, 4253, 4253, 4252, 4252]","[671, 674, 674, 673, 673]","[8.850057, 7.695544, 9.398794, 8.747742, 8.816332]",0,6.5
A,RandomForest,grouped_noshuffle,2,8.700988358578298,0.8450466884284736,21263,3365,"[4253, 4253, 4253, 4252, 4252]","[671, 674, 674, 673, 673]","[8.792129, 7.684899, 9.489575, 8.743535, 8.794836]",0,6.1
A,RandomForest,grouped_noshuffle,3,8.688217122040525,0.8451384409755036,21263,3365,"[4253, 4253, 4253, 4252, 4252]","[671, 674, 674, 673, 673]","[8.693792, 7.766865, 9.493249, 8.692804, 8.794403]",0,6.2
A,RandomForest,grouped_noshuffle,4,8.657225431450893,0.8462809114549381,21263,3365,"[4253, 4253, 4253, 4252, 4252]","[671, 674, 674, 673, 673]","[8.638696, 7.679529, 9.481648, 8.638314, 8.847979]",0,6.6
A,XGBoost,random_shuffle,0,5.244508684687907,0.927376443608441,21263,3365,"[4253, 4253, 4253, 4252, 4252]","[1607, 1646, 1667, 1634, 1675]","[5.353589, 5.251222, 5.254385, 5.150687, 5.212631]",6948,18.9
A,XGBoost,random_shuffle,1,5.259698365540374,0.9273868663245954,21263,3365,"[4253, 4253, 4253, 4252, 4252]","[1630, 1646, 1682, 1645, 1632]","[5.249633, 5.31951, 5.144792, 5.283619, 5.300954]",6953,19.5
A,XGBoost,random_shuffle,2,5.256582485566527,0.9285534991992337,21263,3365,"[4253, 4253, 4253, 4252, 4252]","[1635, 1671, 1627, 1646, 1658]","[5.182188, 5.217155, 5.185169, 5.5179, 5.180544]",6952,10.0
A,XGBoost,random_shuffle,3,5.242753418391815,0.9282054237611014,21263,3365,"[4253, 4253, 4253, 4252, 4252]","[1633, 1644, 1624, 1632, 1682]","[5.168879, 5.11538, 5.214947, 5.443805, 5.27081]",6926,10.4
A,XGBoost,random_shuffle,4,5.266219138361794,0.9270444976589538,21263,3365,"[4253, 4253, 4253, 4252, 4252]","[1649, 1617, 1696, 1642, 1627]","[5.581463, 5.1713, 5.279196, 5.238822, 5.06026]",6963,13.1
A,XGBoost,grouped_shuffle,0,8.243445895573993,0.8566484714667997,21263,3365,"[4816, 4325, 4424, 3998, 3700]","[673, 673, 673, 673, 673]","[9.069651, 8.749672, 7.976005, 8.173893, 6.97123]",0,12.0
A,XGBoost,grouped_shuffle,1,8.119162370011303,0.86155959887829,21263,3365,"[4042, 3962, 5081, 4617, 3561]","[673, 673, 673, 673, 673]","[8.058568, 7.770858, 9.067184, 8.028013, 7.340966]",0,9.6
A,XGBoost,grouped_shuffle,2,8.261918564553447,0.8557598571698335,21263,3365,"[3969, 4560, 4809, 3849, 4076]","[673, 673, 673, 673, 673]","[7.656528, 8.80209, 8.773137, 7.535127, 8.330265]",0,10.9
A,XGBoost,grouped_shuffle,3,8.352498339656334,0.8535871504505845,21263,3365,"[3728, 4265, 4408, 5033, 3829]","[673, 673, 673, 673, 673]","[7.654812, 8.856721, 7.544442, 8.454892, 9.2658]",0,11.6
A,XGBoost,grouped_shuffle,4,8.230979292472457,0.8549042183231571,21263,3365,"[5206, 4679, 3821, 3758, 3799]","[673, 673, 673, 673, 673]","[10.112727, 8.3486, 7.556822, 7.765686, 6.645773]",0,11.8
A,XGBoost,grouped_noshuffle,0,8.421639638946909,0.8502074057417571,21263,3365,"[4253, 4253, 4253, 4252, 4252]","[671, 674, 674, 673, 673]","[8.698103, 7.433091, 8.69862, 8.543169, 8.735318]",0,9.5
