# dataset A: 21263 rows, 3365 chemical families. data/train.csv rows; family = tc_pipeline.chemical_families(data/unique_m.csv).
# fold_deterministic = GroupKFold(5) (no shuffle, published protocol); fold_seedS = GroupKFold(5, shuffle=True,
#   random_state=S); random_fold_seedS = KFold(5, shuffle=True, random_state=S). scikit-learn 1.7.2,
#   pandas 2.3.2, numpy 2.3.3. Generated by code/v2/make_splits.py.
# GroupKFold breaks size ties by the ORDER of the integer family codes (pandas.factorize order of first
#   appearance), so the fold assignment depends on the code order, not only on the family partition.
#   These indices, not just the procedure, are the reference. Read with pandas.read_csv(..., comment='#').
row_index,family_id,family_key,fold_deterministic,fold_seed0,fold_seed1,fold_seed2,fold_seed3,fold_seed4,random_fold_seed0,random_fold_seed1,random_fold_seed2,random_fold_seed3,random_fold_seed4
0,0,Ba|Cu|La|O,2,4,2,3,0,4,2,1,2,2,0
1,1,Ag|Ba|Cu|La|O,1,0,2,3,3,4,1,3,0,1,3
2,0,Ba|Cu|La|O,2,4,2,3,0,4,2,3,1,4,3
3,0,Ba|Cu|La|O,2,4,2,3,0,4,2,3,2,4,1
4,0,Ba|Cu|La|O,2,4,2,3,0,4,3,0,0,4,1
5,0,Ba|Cu|La|O,2,4,2,3,0,4,2,1,1,1,1
6,0,Ba|Cu|La|O,2,4,2,3,0,4,3,0,3,2,4
7,2,Cu|La|O|Sr,1,2,3,2,2,0,0,0,3,2,2
8,2,Cu|La|O|Sr,1,2,3,2,2,0,0,1,0,3,0
9,2,Cu|La|O|Sr,1,2,3,2,2,0,1,3,4,1,1
10,2,Cu|La|O|Sr,1,2,3,2,2,0,4,3,0,3,2
11,3,Ba|Cu|Hg|La|O,4,4,0,1,0,1,3,3,1,2,1
12,1,Ag|Ba|Cu|La|O,1,0,2,3,3,4,0,1,4,4,0
13,1,Ag|Ba|Cu|La|O,1,0,2,3,3,4,4,0,3,2,3
14,1,Ag|Ba|Cu|La|O,1,0,2,3,3,4,2,4,3,0,3
15,1,Ag|Ba|Cu|La|O,1,0,2,3,3,4,2,4,3,0,2
16,4,Ba|Ca|Cu|O|Y,3,0,0,0,2,3,0,2,1,4,0
17,0,Ba|Cu|La|O,2,4,2,3,0,4,2,2,0,2,3
18,2,Cu|La|O|Sr,1,2,3,2,2,0,0,4,3,4,2
19,2,Cu|La|O|Sr,1,2,3,2,2,0,4,0,0,0,2
20,2,Cu|La|O|Sr,1,2,3,2,2,0,2,4,1,2,1
21,2,Cu|La|O|Sr,1,2,3,2,2,0,3,3,2,2,3
22,2,Cu|La|O|Sr,1,2,3,2,2,0,3,0,2,1,2
23,2,Cu|La|O|Sr,1,2,3,2,2,0,2,0,1,0,1
24,2,Cu|La|O|Sr,1,2,3,2,2,0,3,2,4,2,1
25,2,Cu|La|O|Sr,1,2,3,2,2,0,3,3,4,2,0
26,2,Cu|La|O|Sr,1,2,3,2,2,0,3,1,2,3,0
27,5,Ca|Cu|La|O,0,2,3,4,0,3,1,4,2,4,3
28,6,Ba|Cu|O|Yb,2,1,0,1,0,4,4,0,3,1,3
29,6,Ba|Cu|O|Yb,2,1,0,1,0,4,2,4,2,1,1
30,6,Ba|Cu|O|Yb,2,1,0,1,0,4,3,4,0,0,1
31,7,Ba|Cu|La|O|Sr|Yb,3,4,0,2,3,1,1,4,1,2,3
32,8,Ba|Cu|O|Y,0,1,2,1,3,1,0,0,1,4,1
33,8,Ba|Cu|O|Y,0,1,2,1,3,1,0,3,1,3,0
34,9,Ba|Cu|Er|O,2,0,3,4,4,4,3,2,2,3,0
35,10,Ba|Cu|O|Tm,3,0,0,3,2,2,1,0,0,1,1
36,10,Ba|Cu|O|Tm,3,0,0,3,2,2,2,2,4,3,0
37,10,Ba|Cu|O|Tm,3,0,0,3,2,2,1,2,1,2,0
38,10,Ba|Cu|O|Tm,3,0,0,3,2,2,1,0,3,1,0
39,0,Ba|Cu|La|O,2,4,2,3,0,4,2,2,1,1,4
40,8,Ba|Cu|O|Y,0,1,2,1,3,1,4,2,3,4,1
41,8,Ba|Cu|O|Y,0,1,2,1,3,1,3,4,3,0,1
42,8,Ba|Cu|O|Y,0,1,2,1,3,1,1,4,0,0,1
43,8,Ba|Cu|O|Y,0,1,2,1,3,1,4,2,4,1,2
44,11,Ba|Cu|Nd|O,2,2,2,2,1,2,0,0,2,4,4
45,12,Ba|Cu|Eu|O,2,3,0,3,4,4,0,1,1,1,0
46,13,Ba|Cu|Gd|O,2,1,0,3,4,0,2,3,4,4,4
47,14,Ba|Cu|Dy|O,4,1,4,1,3,3,0,4,4,1,4
48,15,Ba|Cu|Ho|O,0,0,4,0,3,2,0,3,2,2,0
49,9,Ba|Cu|Er|O,2,0,3,4,4,4,2,1,1,1,3
50,10,Ba|Cu|O|Tm,3,0,0,3,2,2,1,1,1,2,0
51,16,Ba|Cu|Lu|O,0,3,2,3,1,4,0,4,1,3,4
52,11,Ba|Cu|Nd|O,2,2,2,2,1,2,4,4,3,4,1
53,17,Ba|Cu|O|Sm,4,0,0,3,4,1,4,3,2,4,0
54,13,Ba|Cu|Gd|O,2,1,0,3,4,0,3,3,2,4,3
55,8,Ba|Cu|O|Y,0,1,2,1,3,1,4,2,3,1,4
56,8,Ba|Cu|O|Y,0,1,2,1,3,1,2,1,4,1,0
57,8,Ba|Cu|O|Y,0,1,2,1,3,1,1,1,2,0,2
58,8,Ba|Cu|O|Y,0,1,2,1,3,1,0,2,1,1,0
59,3,Ba|Cu|Hg|La|O,4,4,0,1,0,1,3,3,0,2,4
60,2,Cu|La|O|Sr,1,2,3,2,2,0,0,1,3,0,3
61,18,Ba|Cu|La|O|Yb,4,2,4,0,2,3,0,4,0,4,3
62,2,Cu|La|O|Sr,1,2,3,2,2,0,4,3,0,1,0
63,8,Ba|Cu|O|Y,0,1,2,1,3,1,4,1,1,3,3
64,6,Ba|Cu|O|Yb,2,1,0,1,0,4,0,3,3,4,2
65,16,Ba|Cu|Lu|O,0,3,2,3,1,4,0,0,4,0,1
66,8,Ba|Cu|O|Y,0,1,2,1,3,1,0,1,3,4,2
67,0,Ba|Cu|La|O,2,4,2,3,0,4,2,2,2,0,3
68,2,Cu|La|O|Sr,1,2,3,2,2,0,4,3,3,2,1
69,19,Cu|La|O|Sr|Ti,2,2,1,4,3,2,0,0,4,3,2
70,20,Cu|La|O|Sr|V,2,1,4,0,2,1,1,2,0,2,0
71,21,Cr|Cu|La|O|Sr,2,4,2,3,0,2,1,4,0,2,3
72,22,Cu|La|Mn|O|Sr,4,0,3,2,0,4,3,0,1,3,3
73,23,Cu|Fe|La|O|Sr,2,0,1,0,2,4,4,4,4,2,3
