# dataset B: 12440 rows, 3063 chemical families. data/datasetB_featurized.npz rows (Tc>0 subset of data/supercon_stanev.csv); family = `groups` field.
# fold_deterministic = GroupKFold(5) (no shuffle, published protocol); fold_seedS = GroupKFold(5, shuffle=True,
#   random_state=S); random_fold_seedS = KFold(5, shuffle=True, random_state=S). scikit-learn 1.7.2,
#   pandas 2.3.2, numpy 2.3.3. Generated by code/v2/make_splits.py.
# GroupKFold breaks size ties by the ORDER of the integer family codes (pandas.factorize order of first
#   appearance), so the fold assignment depends on the code order, not only on the family partition.
#   These indices, not just the procedure, are the reference. Read with pandas.read_csv(..., comment='#').
row_index,family_id,family_key,fold_deterministic,fold_seed0,fold_seed1,fold_seed2,fold_seed3,fold_seed4,random_fold_seed0,random_fold_seed1,random_fold_seed2,random_fold_seed3,random_fold_seed4,fold_deterministic_v1_prefilter_codes
0,0,As|Ba|Fe|K,0,4,2,3,0,4,4,4,2,0,0,1
1,1,Ba|Ca|Cu|La|O,0,0,1,3,2,4,2,2,4,0,2,0
2,2,Mo|Ru,2,2,3,2,2,2,3,4,1,3,1,0
3,3,Os|Sn|Tm,1,4,0,1,0,0,3,2,1,3,1,0
4,4,Bi|F|Nd|O|Pb|S,1,1,0,0,2,3,3,0,0,3,1,3
5,5,Al|Ga|V,3,2,3,4,0,2,1,2,1,3,4,2
6,6,Co|Cu|La|O|Sr,1,1,0,1,0,4,2,1,2,3,4,3
7,7,N|V,0,4,3,2,3,0,2,0,3,4,0,4
8,8,Be|Pb,4,1,2,1,3,1,2,3,1,3,1,4
9,9,Nb|Sn|Tl,3,0,3,4,4,4,0,3,3,0,0,2
10,10,Cu|La|O|Pb|Sr,3,0,0,3,2,2,3,1,0,2,1,3
11,11,Ba|Cu|Nd|O,4,1,1,2,1,1,2,2,1,4,0,4
12,12,Ba|Ca|Cu|O|Y,3,3,3,3,4,4,2,3,4,4,4,3
13,13,Ba|Cl|Hf|N,3,3,0,3,4,0,4,3,2,1,2,2
14,14,Cu|La|O|V,3,0,4,1,3,3,0,3,4,4,3,3
15,15,Cu|Ni|O|Sm,2,0,4,0,3,1,1,4,2,3,3,1
16,16,Cu|Mo|S,0,3,1,3,0,4,0,1,0,3,1,3
17,17,La|Tb,0,1,0,3,4,1,2,0,4,1,4,0
18,18,B|C|Ce|Ni|Y,0,1,4,0,1,3,0,4,1,3,3,2
19,19,Gd|In|La,1,2,2,4,3,2,3,3,2,3,0,4
20,20,Al|Nb|Pd|Zr,4,1,4,3,1,1,1,4,1,0,0,2
21,21,Cu|O|Ru|Sr|Y,3,4,3,3,0,3,4,1,0,2,4,3
22,22,Ba|Co|Cu|O|Y,3,0,2,2,0,4,1,0,1,0,0,3
23,19,Gd|In|La,1,2,2,4,3,2,1,4,0,2,4,4
24,23,Nb|Sn|V,0,0,1,0,2,4,2,1,4,0,2,4
25,24,Cu|La|Mn|O|Sr,4,4,2,4,3,1,4,1,4,0,4,1
26,25,B|C|Ho|Ni|Y,0,4,4,4,0,3,4,3,3,2,2,4
27,26,Fe|Ga|Se,4,4,3,4,1,1,4,4,0,3,1,4
28,27,Ni|Ti|Zr,0,1,3,0,1,3,4,1,2,1,2,2
29,28,Al|Ba|Cu|O|Sr|Y,3,3,0,3,1,0,1,4,4,1,1,0
30,29,Ca|Hg,3,3,3,4,4,0,2,4,1,3,0,2
31,30,Bi|Ca|Cu|Ga|O|Sr,4,0,1,2,0,3,1,4,4,2,2,0
32,31,Ba|Cu|O|Pr|Sr|Y,0,2,3,4,1,0,1,1,0,4,4,2
33,32,Ce|Cu|Gd|Nd|O,4,3,1,4,4,4,0,2,2,2,2,4
34,33,C|N|Nb,1,0,3,0,2,3,2,1,3,2,0,3
35,34,Os|Pr|Ru|Sb,2,2,2,1,0,0,4,0,2,0,2,1
36,35,Bi|Cu|O|Pr|Sr,4,3,1,4,4,0,1,1,3,2,1,3
37,36,Bi|Ca|Cu|O|Sr|Y,4,2,4,1,1,0,1,3,1,0,0,4
38,37,C|Mo|W,2,1,2,1,2,2,1,0,3,0,1,2
39,38,Ga|Sn,4,3,2,1,0,1,0,1,0,2,4,1
40,39,B|Er|Gd|Rh,2,1,2,2,3,2,3,1,2,4,1,3
41,40,Au|Ga,0,0,0,2,1,0,4,3,2,0,1,1
42,41,In|Tl,1,1,0,3,0,1,0,4,0,0,0,3
43,42,Cu|La|O|Sr|Zn,1,2,4,4,3,1,4,1,3,2,0,1
44,43,Fe|K|Se,2,2,3,2,1,3,1,0,2,4,3,0
45,44,Cu|La|Nd|O|Sr,3,0,2,3,4,2,1,0,0,1,3,0
46,45,Ca|Cu|La|O,1,2,0,2,3,1,0,1,3,4,4,0
47,46,As|Ba|Co|Fe|Zn,1,3,3,2,1,3,2,3,4,1,3,3
48,47,Al|Au,4,1,0,3,4,1,0,1,0,1,4,4
49,48,Ba|Cu|Fe|O|Sr|Tm,4,1,2,0,2,4,1,3,4,0,1,3
50,49,Ba|Cu|La|O,3,0,2,4,3,0,0,1,0,2,3,3
51,50,Ba|Ca|Cu|Er|La|O,3,3,0,3,1,3,2,4,1,3,4,2
52,51,Cu|La|O|Sm|Sr,4,3,2,4,3,3,4,4,3,4,2,4
53,52,Ca|Cu|O|P|Sr|Y,0,1,4,2,4,0,3,4,2,4,1,1
54,53,Ga|Si|Sr,1,0,2,4,3,1,2,2,1,4,1,3
55,1,Ba|Ca|Cu|La|O,0,0,1,3,2,4,4,2,4,0,4,0
56,54,Nb|Ta,1,2,0,0,3,2,2,4,4,2,3,0
57,55,Fe|S|Se,2,2,3,4,3,2,1,1,1,2,2,2
58,56,Ce|In|Rh|Sn,0,3,1,3,2,4,3,0,2,0,4,2
59,57,Ba|Ca|Co|Cu|O|Y,1,1,3,4,0,1,3,4,0,2,3,2
60,58,Co|H|Na|O,1,1,0,1,1,1,4,1,2,3,2,3
61,59,Bi|Ca|Cu|O|Sr,2,1,2,3,0,3,3,4,0,3,2,2
62,49,Ba|Cu|La|O,3,0,2,4,3,0,4,1,1,2,2,3
63,60,As|Fe|La|O|Y,0,3,2,0,3,1,4,0,3,3,3,4
64,61,Ge|La|Pt,2,2,3,1,1,4,3,3,2,3,2,3
